AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Office of Justice Grants Administration,458.98,2009-08-13
Office of Justice Grants Administration,755.36,2009-06-03
Office of Justice Grants Administration,-325.76,2009-06-03
Office of Justice Grants Administration,753.14,2009-07-16
Office of Justice Grants Administration,518.83,2009-03-02
Office of Justice Grants Administration,260.46,2009-09-30
Office of Justice Grants Administration,217.12,2009-04-13
Office of Justice Grants Administration,266.11,2009-03-18
Office of Justice Grants Administration,404.66,2009-06-25
Office of Justice Grants Administration,259.82,2009-08-08
Office of Justice Grants Administration,145.95,2009-07-28
Office of Justice Grants Administration,-107.36,2009-08-15
Office of Justice Grants Administration,290.77,2009-08-25
Office of Justice Grants Administration,-320.4,2009-06-11
Office of Justice Grants Administration,394.08,2009-04-22
Office of Justice Grants Administration,-157.63,2009-07-12
Office of Justice Grants Administration,25.43,2009-04-08
Office of Justice Grants Administration,656.67,2009-05-15
Office of Justice Grants Administration,18.63,2009-04-19
Office of Justice Grants Administration,142.64,2009-05-05
Office of Justice Grants Administration,-207.68,2009-07-21
Office of Justice Grants Administration,333.04,2009-08-22
Office of Justice Grants Administration,648.74,2009-06-13
Office of Justice Grants Administration,308.53,2009-04-25
Office of Justice Grants Administration,224.97,2009-06-02
Office of Justice Grants Administration,-231.76,2009-10-02
Office of Justice Grants Administration,773.43,2009-02-10
Office of Justice Grants Administration,21.97,2009-07-17
Office of Justice Grants Administration,458.53,2009-07-12
Office of Justice Grants Administration,272.98,2009-04-20
Office of Justice Grants Administration,363.39,2009-04-26
Office of Justice Grants Administration,138.99,2009-03-21
Office of Justice Grants Administration,882.49,2009-05-16
Office of Justice Grants Administration,215.88,2009-04-22
Office of Justice Grants Administration,-248.07,2009-07-06
Office of Justice Grants Administration,-17.08,2009-09-22
Office of Justice Grants Administration,455.22,2009-10-02
Office of Justice Grants Administration,304.09,2009-04-17
Office of Justice Grants Administration,123.42,2009-04-21
Office of Justice Grants Administration,117.77,2009-04-17
Office of Justice Grants Administration,99.64,2009-09-08
Office of Justice Grants Administration,148.4,2009-08-20
Office of Justice Grants Administration,271.63,2009-08-15
Office of Justice Grants Administration,607.67,2009-07-19
Office of Justice Grants Administration,505.55,2009-05-18
Office of Justice Grants Administration,988.83,2009-11-15
Office of Justice Grants Administration,591.46,2009-07-05
Office of Justice Grants Administration,71.86,2009-06-10
Office of Justice Grants Administration,562.57,2009-02-11
Office of Justice Grants Administration,639.15,2009-10-19
Office of Justice Grants Administration,248.44,2009-10-16
Office of Justice Grants Administration,310.88,2009-11-06
Office of Justice Grants Administration,240.92,2009-07-30
Office of Justice Grants Administration,573.86,2009-06-29
Office of Justice Grants Administration,-99.83,2009-08-23
Office of Justice Grants Administration,563.53,2009-03-18
Office of Justice Grants Administration,520.57,2009-07-19
Office of Justice Grants Administration,439.09,2009-11-18
Office of Justice Grants Administration,116.99,2009-09-24
Office of Justice Grants Administration,-209.09,2009-05-12
Office of Justice Grants Administration,32.35,2009-06-21
Office of Justice Grants Administration,260.75,2009-07-07
Office of Justice Grants Administration,402.54,2009-08-21
Office of Justice Grants Administration,364.42,2009-04-13
Office of Justice Grants Administration,7.82,2009-06-27
Office of Justice Grants Administration,-224.81,2009-07-12
Office of Justice Grants Administration,115.67,2009-12-14
Office of Justice Grants Administration,73.76,2009-07-17
Office of Justice Grants Administration,192.16,2009-04-02
Office of Justice Grants Administration,471.11,2009-09-09
Office of Justice Grants Administration,440.15,2009-08-25
Office of Justice Grants Administration,689.04,2009-06-29
Office of Justice Grants Administration,201.54,2009-05-18
Office of Justice Grants Administration,282.45,2009-07-02
Office of Justice Grants Administration,352.8,2009-07-03
Office of Justice Grants Administration,250.18,2009-02-07
Office of Justice Grants Administration,556.95,2009-06-17
Office of Justice Grants Administration,346.63,2009-04-02
Office of Justice Grants Administration,115.95,2009-03-22
Office of Justice Grants Administration,98.8,2009-06-29
Office of Justice Grants Administration,1004.56,2009-11-01
Office of Justice Grants Administration,481.72,2009-05-29
Office of Justice Grants Administration,268.52,2009-10-05
Office of Justice Grants Administration,171.92,2009-01-03
Office of Justice Grants Administration,83.81,2009-04-30
Office of Justice Grants Administration,218.61,2009-07-21
Office of Justice Grants Administration,125.17,2009-07-03
Office of Justice Grants Administration,317.76,2009-05-28
Office of Justice Grants Administration,152.35,2009-10-04
Office of Justice Grants Administration,394.55,2009-02-10
Office of Justice Grants Administration,169.58,2009-06-20
Office of Justice Grants Administration,158.52,2009-08-14
Office of Justice Grants Administration,174.38,2009-01-30
Office of Justice Grants Administration,312.46,2009-07-06
Office of Justice Grants Administration,157.38,2009-06-01
Office of Justice Grants Administration,-162.54,2009-06-21
Office of Justice Grants Administration,415.78,2009-05-11
Office of Justice Grants Administration,403.25,2009-11-09
Office of Justice Grants Administration,320.39,2009-07-07
Office of Justice Grants Administration,160.51,2009-05-25
Office of Justice Grants Administration,96.43,2009-05-22
Office of Justice Grants Administration,397.85,2009-12-12
Office of Justice Grants Administration,458.25,2009-04-14
Office of Justice Grants Administration,425.4,2009-06-22
Office of Justice Grants Administration,770.52,2009-08-21
Office of Justice Grants Administration,98.82,2009-08-25
Office of Justice Grants Administration,45.17,2009-02-17
Office of Justice Grants Administration,-29.74,2009-12-10
Office of Justice Grants Administration,-43.83,2009-05-11
Office of Justice Grants Administration,547.3,2009-08-09
Office of Justice Grants Administration,446.7,2009-11-03
Office of Justice Grants Administration,475.72,2009-06-30
Office of Justice Grants Administration,173.21,2009-09-22
Office of Justice Grants Administration,-130.8,2009-09-16
Office of Justice Grants Administration,613.79,2009-03-18
Office of Justice Grants Administration,628.89,2009-05-07
Office of Justice Grants Administration,579.83,2009-02-01
Office of Justice Grants Administration,276.06,2009-09-20
Office of Justice Grants Administration,135.7,2009-09-20
Office of Justice Grants Administration,28.22,2009-10-31
Office of Justice Grants Administration,665.59,2009-11-13
Office of Justice Grants Administration,29.54,2009-09-08
Office of Justice Grants Administration,133.27,2009-07-01
Office of Justice Grants Administration,-63.43,2009-09-24
Office of Justice Grants Administration,806.1,2009-09-14
Office of Justice Grants Administration,718.53,2009-07-25
Office of Justice Grants Administration,-116.71,2009-08-31
Office of Justice Grants Administration,425.09,2009-06-19
Office of Justice Grants Administration,-323.91,2009-05-29
Office of Justice Grants Administration,494.98,2009-08-06
Office of Justice Grants Administration,-120.04,2009-12-16
Office of Justice Grants Administration,-30.44,2009-03-17
Office of Justice Grants Administration,-163.54,2009-07-01
Office of Justice Grants Administration,443.61,2009-06-25
Office of Justice Grants Administration,-205.52,2009-05-06
Office of Justice Grants Administration,453.04,2009-08-11
Office of Justice Grants Administration,231.7,2009-03-07
Office of Justice Grants Administration,-137.74,2009-07-26
Office of Justice Grants Administration,-222.84,2009-09-21
Office of Justice Grants Administration,672.9,2010-01-07
Office of Justice Grants Administration,48.81,2009-09-16
Office of Justice Grants Administration,-161.15,2009-07-08
Office of Justice Grants Administration,511.85,2009-11-08
Office of Justice Grants Administration,-133.66,2009-05-28
Office of Justice Grants Administration,558.81,2009-07-25
Office of Justice Grants Administration,254.33,2009-08-12
Office of Justice Grants Administration,386.52,2009-04-25
Office of Justice Grants Administration,39.15,2009-04-25
Office of Justice Grants Administration,75.89,2009-06-18
Office of Justice Grants Administration,-620.85,2009-07-03
Office of Justice Grants Administration,-136.73,2009-08-24
Office of Justice Grants Administration,-81.13,2009-07-16
Office of Justice Grants Administration,516.66,2009-04-12
Office of Justice Grants Administration,221.47,2009-07-21
Office of Justice Grants Administration,159.03,2009-07-14
Office of Justice Grants Administration,225.75,2009-07-30
Office of Justice Grants Administration,172.7,2009-05-24
Office of Justice Grants Administration,80.71,2009-06-19
Office of Justice Grants Administration,302.4,2009-05-17
Office of Justice Grants Administration,9.07,2009-08-02
Office of Justice Grants Administration,490.55,2009-03-08
Office of Justice Grants Administration,74.31,2009-05-24
Office of Justice Grants Administration,389.08,2009-06-19
Office of Justice Grants Administration,399.07,2009-02-22
Office of Justice Grants Administration,72.07,2009-03-15
Office of Justice Grants Administration,246.3,2009-08-05
Office of Justice Grants Administration,441.49,2009-04-14
Office of Justice Grants Administration,71.23,2009-09-06
Office of Justice Grants Administration,177.8,2009-10-09
Office of Justice Grants Administration,21.29,2009-09-20
Office of Justice Grants Administration,508.36,2009-06-10
Office of Justice Grants Administration,-247.08,2009-10-07
Office of Justice Grants Administration,-138.94,2009-08-23
Office of Justice Grants Administration,-170.67,2009-07-26
Office of Justice Grants Administration,387.4,2009-10-27
Office of Justice Grants Administration,847.53,2009-09-27
Office of Justice Grants Administration,518.84,2009-12-11
Office of Justice Grants Administration,187.65,2009-04-04
Office of Justice Grants Administration,213.0,2009-08-28
Office of Justice Grants Administration,676.53,2009-04-13
Office of Justice Grants Administration,278.81,2009-03-06
Office of Justice Grants Administration,735.96,2009-09-23
Office of Justice Grants Administration,-23.86,2009-07-16
Office of Justice Grants Administration,-329.6,2009-04-02
Office of Justice Grants Administration,569.01,2009-07-10
Office of Justice Grants Administration,464.17,2009-04-22
DC Department of Human Resources,96.24,2009-04-30
DC Department of Human Resources,543.33,2009-06-11
DC Department of Human Resources,-757.3,2009-08-11
DC Department of Human Resources,632.19,2009-07-17
DC Department of Human Resources,-189.77,2009-07-15
DC Department of Human Resources,469.18,2009-09-12
DC Department of Human Resources,92.77,2009-03-31
DC Department of Human Resources,-19.84,2009-07-14
DC Department of Human Resources,-775.85,2009-02-17
DC Department of Human Resources,465.17,2009-05-12
DC Department of Human Resources,392.69,2009-04-19
DC Department of Human Resources,543.98,2009-04-23
DC Department of Human Resources,-219.5,2009-12-11
DC Department of Human Resources,224.92,2009-07-13
DC Department of Human Resources,311.15,2009-03-24
DC Department of Human Resources,-41.45,2009-12-15
DC Department of Human Resources,159.07,2009-09-06
DC Department of Human Resources,60.03,2009-07-02
DC Department of Human Resources,-359.05,2009-05-26
DC Department of Human Resources,471.91,2009-06-19
DC Department of Human Resources,-190.04,2009-05-09
DC Department of Human Resources,137.15,2009-04-19
DC Department of Human Resources,568.39,2009-10-14
DC Department of Human Resources,-415.94,2009-03-15
DC Department of Human Resources,462.68,2009-08-19
DC Department of Human Resources,349.88,2009-04-09
DC Department of Human Resources,379.2,2009-12-07
DC Department of Human Resources,739.33,2009-09-14
DC Department of Human Resources,563.21,2009-04-09
DC Department of Human Resources,124.64,2009-07-29
DC Department of Human Resources,405.99,2009-05-15
DC Department of Human Resources,808.08,2009-08-15
DC Department of Human Resources,752.82,2009-08-21
DC Department of Human Resources,506.2,2009-02-22
DC Department of Human Resources,-222.06,2009-08-24
DC Department of Human Resources,231.62,2009-05-24
DC Department of Human Resources,114.44,2009-08-09
DC Department of Human Resources,169.76,2009-07-12
DC Department of Human Resources,504.62,2009-07-22
DC Department of Human Resources,450.76,2009-10-04
DC Department of Human Resources,-126.65,2009-04-29
DC Department of Human Resources,-46.63,2009-06-18
DC Department of Human Resources,378.11,2009-08-27
DC Department of Human Resources,908.19,2009-10-01
DC Department of Human Resources,378.84,2009-03-19
DC Department of Human Resources,-97.09,2009-11-05
DC Department of Human Resources,880.42,2009-06-21
DC Department of Human Resources,480.47,2009-09-23
DC Department of Human Resources,357.65,2009-06-10
DC Department of Human Resources,523.34,2009-01-17
DC Department of Human Resources,278.19,2009-04-09
DC Department of Human Resources,230.96,2009-08-05
DC Department of Human Resources,805.35,2009-07-09
DC Department of Human Resources,-152.88,2009-05-08
DC Department of Human Resources,-145.44,2009-07-09
DC Department of Human Resources,104.24,2009-10-03
DC Department of Human Resources,247.53,2009-05-03
DC Department of Human Resources,880.57,2009-09-11
DC Department of Human Resources,48.89,2009-08-25
DC Department of Human Resources,-26.77,2009-05-17
DC Department of Human Resources,-62.78,2009-07-26
DC Department of Human Resources,355.93,2009-07-17
DC Department of Human Resources,426.89,2009-04-13
DC Department of Human Resources,318.68,2009-09-23
DC Department of Human Resources,231.06,2009-06-14
DC Department of Human Resources,339.06,2009-05-02
DC Department of Human Resources,226.24,2009-09-20
DC Department of Human Resources,701.92,2010-03-03
DC Department of Human Resources,-426.79,2009-09-22
DC Department of Human Resources,1377.02,2009-05-20
DC Department of Human Resources,-84.43,2009-01-25
DC Department of Human Resources,-373.23,2009-09-13
DC Department of Human Resources,583.04,2009-04-05
DC Department of Human Resources,402.44,2010-01-09
DC Department of Human Resources,474.61,2009-05-07
DC Department of Human Resources,-196.81,2009-06-14
DC Department of Human Resources,152.59,2009-07-22
DC Department of Human Resources,124.6,2009-04-06
DC Department of Human Resources,145.79,2009-04-28
DC Department of Human Resources,-78.99,2009-02-09
DC Department of Human Resources,249.5,2009-09-20
DC Department of Human Resources,-330.99,2009-03-18
DC Department of Human Resources,759.73,2009-08-12
DC Department of Human Resources,567.28,2009-08-12
DC Department of Human Resources,344.43,2009-05-01
DC Department of Human Resources,276.89,2009-07-21
DC Department of Human Resources,321.49,2009-09-17
DC Department of Human Resources,-153.56,2009-02-03
DC Department of Human Resources,211.92,2009-05-28
DC Department of Human Resources,524.51,2009-09-05
DC Department of Human Resources,276.03,2009-05-23
DC Department of Human Resources,1063.58,2009-07-03
DC Department of Human Resources,-72.65,2009-05-04
DC Department of Human Resources,972.4,2009-10-05
DC Department of Human Resources,-257.14,2009-05-22
DC Department of Human Resources,473.86,2009-01-12
DC Department of Human Resources,197.47,2009-11-26
DC Department of Human Resources,273.11,2009-07-12
DC Department of Human Resources,293.52,2009-07-25
DC Department of Human Resources,-648.21,2009-04-06
DC Department of Human Resources,348.53,2009-07-28
DC Department of Human Resources,1081.41,2009-04-27
DC Department of Human Resources,117.18,2009-09-14
DC Department of Human Resources,-231.38,2009-06-15
DC Department of Human Resources,195.08,2009-07-06
DC Department of Human Resources,-448.92,2009-06-15
DC Department of Human Resources,952.61,2009-08-14
DC Department of Human Resources,42.9,2009-09-22
DC Department of Human Resources,493.18,2009-05-06
DC Department of Human Resources,203.07,2009-10-13
DC Department of Human Resources,205.35,2009-06-15
DC Department of Human Resources,676.24,2009-02-18
DC Department of Human Resources,514.09,2009-08-28
DC Department of Human Resources,-11.16,2009-04-06
DC Department of Human Resources,-195.35,2009-07-02
DC Department of Human Resources,696.39,2009-06-06
DC Department of Human Resources,233.84,2009-08-09
Office of Disability Rights,289.13,2009-08-28
Office of Disability Rights,128.72,2009-09-07
Office of Disability Rights,100.98,2009-05-27
Office of Disability Rights,924.79,2009-06-29
Office of Disability Rights,603.26,2009-10-21
Office of Disability Rights,372.56,2009-05-08
Office of Disability Rights,29.37,2009-05-15
Office of Disability Rights,808.76,2009-07-05
Office of Disability Rights,1103.92,2009-08-19
Office of Disability Rights,975.82,2009-06-30
Office of Disability Rights,328.11,2009-11-26
Office of Disability Rights,649.21,2009-06-26
Office of Disability Rights,693.58,2009-04-09
Office of Disability Rights,-138.89,2009-01-25
Office of Disability Rights,-115.97,2009-06-11
Office of Disability Rights,722.11,2009-08-20
Office of Disability Rights,1554.27,2009-05-05
Office of Disability Rights,491.15,2009-06-05
Office of Disability Rights,620.08,2009-08-11
Office of Disability Rights,123.5,2009-05-29
Office of Disability Rights,697.81,2009-04-09
Office of Disability Rights,-136.05,2009-08-30
Office of Disability Rights,478.82,2009-03-30
Office of Disability Rights,-206.23,2009-09-05
Office of Disability Rights,172.99,2009-04-26
Office of Disability Rights,-150.97,2009-07-13
Office of Disability Rights,511.33,2009-03-30
Office of Disability Rights,194.38,2009-06-08
Office of Disability Rights,1039.88,2008-12-30
Office of Disability Rights,349.26,2009-03-08
Office of Disability Rights,1099.41,2009-07-01
Office of Disability Rights,-373.08,2009-06-30
Office of Disability Rights,1020.95,2009-04-11
Office of Disability Rights,272.26,2009-04-23
Office of Disability Rights,283.37,2009-05-30
Office of Disability Rights,675.66,2009-04-07
Office of Disability Rights,1203.38,2009-04-10
Office of Disability Rights,-377.17,2009-09-05
Office of Disability Rights,423.76,2009-06-04
Office of Disability Rights,603.55,2009-01-07
Office of Disability Rights,1362.81,2009-07-04
Office of Disability Rights,809.01,2009-04-26
Office of Disability Rights,458.39,2009-03-10
Office of Disability Rights,172.22,2009-07-21
Office of Disability Rights,438.58,2009-07-21
Office of Disability Rights,-17.72,2009-05-13
Office of Disability Rights,291.92,2009-03-29
Office of Disability Rights,-213.52,2009-09-20
Office of Disability Rights,1022.43,2009-06-09
Office of Disability Rights,583.66,2009-04-15
Office of Disability Rights,-299.1,2009-06-05
Office of Disability Rights,781.52,2009-06-30
Office of Disability Rights,1512.22,2009-06-24
Office of Disability Rights,957.73,2009-06-03
Office of Disability Rights,-183.15,2009-05-01
Office of Disability Rights,2208.32,2009-07-26
Office of Disability Rights,524.43,2009-10-10
Office of Disability Rights,1014.57,2009-06-20
Office of Disability Rights,-281.35,2009-04-06
Office of Disability Rights,-222.41,2009-06-09
Office of Disability Rights,-402.76,2009-07-20
Office of Disability Rights,929.78,2009-01-05
Office of Disability Rights,763.43,2009-08-20
Office of Disability Rights,536.53,2009-06-29
Office of Disability Rights,989.29,2009-10-03
Office of Disability Rights,1952.62,2009-03-13
Office of Disability Rights,880.62,2009-08-19
Office of Disability Rights,1467.13,2009-12-16
Office of Disability Rights,547.08,2009-07-13
Office of Disability Rights,467.4,2009-04-27
Office of Disability Rights,573.51,2009-05-18
Office of Disability Rights,919.48,2009-05-23
Office of Disability Rights,-29.0,2009-05-16
Office of Disability Rights,210.16,2009-06-26
Office of Disability Rights,561.46,2009-04-26
Office of Disability Rights,1236.92,2009-08-05
Office of Disability Rights,935.98,2009-12-13
Office of Disability Rights,266.18,2009-01-21
Office of Disability Rights,362.37,2009-03-14
Office of Disability Rights,-565.85,2009-09-18
Office of Disability Rights,1103.46,2009-04-14
Office of Disability Rights,512.34,2009-08-11
Office of Disability Rights,452.15,2009-07-26
Office of Disability Rights,1173.81,2009-06-16
Office of Disability Rights,130.0,2009-08-31
Office of Administrative Hearings,1154.56,2009-09-15
Office of Administrative Hearings,501.4,2009-08-14
Office of Administrative Hearings,993.98,2009-04-19
Office of Administrative Hearings,1780.75,2009-06-30
Office of Administrative Hearings,-616.8,2009-04-28
Office of Administrative Hearings,1002.99,2009-03-23
Office of Administrative Hearings,1698.45,2009-02-03
Office of Administrative Hearings,579.12,2009-02-18
Office of Administrative Hearings,5.16,2009-04-22
Office of Administrative Hearings,562.99,2009-02-26
Office of Administrative Hearings,-1998.06,2009-07-15
Office of Administrative Hearings,806.97,2009-07-05
Office of Administrative Hearings,1532.24,2009-01-10
Office of Administrative Hearings,3088.1,2009-08-08
Office of Administrative Hearings,1535.34,2009-10-31
Office of Administrative Hearings,1662.24,2009-10-03
Office of Administrative Hearings,1322.38,2009-07-08
Office of Administrative Hearings,-99.53,2009-06-12
Office of Administrative Hearings,-594.45,2009-05-18
Office of Administrative Hearings,132.95,2009-05-28
Office of Administrative Hearings,416.65,2009-08-08
Office of Administrative Hearings,490.57,2009-01-31
Office of Administrative Hearings,-805.51,2009-06-30
Office of Administrative Hearings,-174.29,2009-03-06
Office of Administrative Hearings,538.2,2009-05-07
Office of Administrative Hearings,122.36,2009-08-14
Office of Administrative Hearings,-214.55,2009-05-27
Office of Administrative Hearings,1715.32,2009-09-15
Office of Administrative Hearings,962.65,2009-05-21
Office of Administrative Hearings,556.63,2009-09-21
Office of Administrative Hearings,-4.42,2009-04-21
Office of Administrative Hearings,1929.58,2009-06-16
Office of Administrative Hearings,-587.2,2009-06-17
Office of Administrative Hearings,-414.0,2009-05-24
Office of Administrative Hearings,444.1,2009-05-26
Office of Administrative Hearings,922.46,2009-07-29
Office of Administrative Hearings,1675.7,2009-08-18
Office of Administrative Hearings,-264.69,2009-05-04
Office of Administrative Hearings,992.06,2009-05-19
Office of Administrative Hearings,997.41,2009-07-23
Office of Administrative Hearings,81.36,2009-05-04
Office of Administrative Hearings,968.42,2009-01-26
Office of Administrative Hearings,2386.95,2009-02-27
Office of Administrative Hearings,-994.99,2009-01-10
Office of Administrative Hearings,-647.79,2009-04-28
Office of Administrative Hearings,-952.37,2008-10-07
Office of Administrative Hearings,2788.07,2009-06-04
Office of Administrative Hearings,471.92,2009-05-30
Office of Administrative Hearings,579.35,2009-09-14
Office of Administrative Hearings,1096.49,2009-09-16
Office of Administrative Hearings,-52.3,2009-08-12
Office of Administrative Hearings,2597.57,2009-10-23
Office of Administrative Hearings,-1833.2,2009-09-07
Office of Administrative Hearings,87.93,2009-05-18
Office of Administrative Hearings,1030.67,2009-09-10
Office of Administrative Hearings,498.64,2009-04-02
Office of Administrative Hearings,973.8,2009-07-04
Office of Administrative Hearings,1174.4,2009-10-11
Office of Administrative Hearings,403.69,2009-05-16
Office of Administrative Hearings,660.04,2009-08-31
Office of Administrative Hearings,425.55,2010-02-16
Office of Administrative Hearings,-477.77,2009-06-09
Office of Administrative Hearings,1436.51,2009-05-07
Office of Administrative Hearings,-8.76,2009-07-01
Office of Administrative Hearings,393.09,2009-12-02
Office of Administrative Hearings,1206.21,2009-09-16
Office of Administrative Hearings,-79.53,2009-04-24
Office of Administrative Hearings,-524.27,2009-03-28
Office of Administrative Hearings,1458.77,2009-08-31
Office of Administrative Hearings,2382.18,2009-05-23
Office of Administrative Hearings,1402.48,2009-06-19
Office of Administrative Hearings,1264.95,2009-10-07
Office of Administrative Hearings,296.84,2009-07-26
Office of Administrative Hearings,-335.3,2009-07-01
Office of Administrative Hearings,1316.53,2009-09-15
Office of Administrative Hearings,1293.47,2009-03-16
Office of Administrative Hearings,2285.07,2009-11-19
Office of Administrative Hearings,1120.89,2009-04-18
Office of Administrative Hearings,325.61,2009-05-02
Office of Administrative Hearings,-638.07,2009-09-18
Office of Administrative Hearings,-244.06,2009-02-13
Office of Administrative Hearings,530.88,2009-05-17
Office of Administrative Hearings,221.82,2008-12-13
Office of Administrative Hearings,2226.07,2008-12-28
Office of Administrative Hearings,1968.77,2009-02-03
Office of Administrative Hearings,280.75,2009-03-16
Office of Administrative Hearings,612.95,2009-07-30
Office of Administrative Hearings,292.37,2009-04-12
Office of Administrative Hearings,515.62,2009-06-06
Office of Administrative Hearings,781.71,2009-06-03
Office of Administrative Hearings,182.83,2009-05-27
Office of Administrative Hearings,-484.25,2009-11-03
Office of Administrative Hearings,1704.35,2009-06-19
Office of Administrative Hearings,681.82,2009-05-04
Office of Administrative Hearings,1160.64,2009-06-21
Office of Administrative Hearings,-1094.52,2009-06-03
Office of Administrative Hearings,656.53,2009-07-11
Office of Administrative Hearings,1184.9,2009-12-20
Office of Administrative Hearings,546.94,2009-05-01
Office of Administrative Hearings,1344.87,2009-08-12
Office of Administrative Hearings,201.07,2009-03-13
Office of Administrative Hearings,1311.3,2009-05-22
Office of Administrative Hearings,358.97,2009-01-02
Office of Administrative Hearings,-45.9,2009-11-05
Office of Administrative Hearings,288.9,2009-06-13
Office of Administrative Hearings,980.44,2009-05-17
Office of Administrative Hearings,603.36,2009-05-18
Office of Administrative Hearings,-210.37,2009-04-26
Office of Administrative Hearings,-504.53,2009-11-18
Office of Administrative Hearings,694.33,2008-12-19
Office of Administrative Hearings,1055.68,2009-05-01
Office of Administrative Hearings,2193.81,2009-09-15
Office of Administrative Hearings,-593.89,2008-12-08
Office of Administrative Hearings,-1374.26,2009-06-24
DC Sentencing & Criminal Code Review Committee,203.95,2009-06-04
DC Sentencing & Criminal Code Review Committee,290.41,2009-09-04
DC Sentencing & Criminal Code Review Committee,-162.0,2009-07-10
DC Sentencing & Criminal Code Review Committee,819.44,2009-10-18
