AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
District Department of the Environment,323.73,2009-04-29
Department of Public Works,325.0,2009-04-24
Fire & Emergency Medical Services,-83.73,2009-10-13
Department of Employment Services,359.47,2009-04-25
Alcoholic Beverage Regulation Administration,90.0,2009-10-26
Fire & Emergency Medical Services,199.99,2009-03-04
Department of  Youth Rehabilitation Services,395.0,2009-09-01
Department of Human Services,1253.06,2009-01-07
Department of Public Works,109.99,2009-10-23
Department of Education,850.0,2009-05-21
Office of the Chief Financial Officer,149.0,2009-05-05
DC Department of Human Resources,1566.93,2009-03-28
Department of Human Services,205.0,2009-12-03
Department of Public Works,-2.9,2009-03-14
Fire & Emergency Medical Services,154.99,2009-11-09
Office of the Chief Financial Officer,305.35,2009-08-12
District Department of Transportation,607.16,2009-08-14
Office of the State Superintendent of Education,190.0,2009-09-04
Department of Corrections,1195.0,2009-10-28
Department of Consumer & Regulatory Affairs,292.5,2009-04-14
Department of Parks & Recreation,241.0,2009-11-12
Office of the Chief Financial Officer,995.0,2009-09-16
Department of Corrections,-23.16,2009-01-02
Fire & Emergency Medical Services,238.0,2009-08-19
Office of the Tenant Advocate,2313.92,2009-10-06
District Department of Transportation,94.95,2009-01-06
Office of Finance & Resource Management,-77.49,2009-09-30
Department of Mental Health,62.49,2009-04-02
Department of Health,1873.38,2009-10-28
Office of the State Superintendent of Education,856.0,2009-02-04
"Department of Insurance, Securities & Banking",149.0,2009-04-01
District Department of Transportation,55.2,2009-02-19
Office of the State Superintendent of Education,148.48,2009-10-19
Office of the Mayor,817.48,2009-09-22
District Department of Transportation,196.58,2009-06-17
Department of Health,1152.0,2009-10-20
Office of the Mayor,89.5,2009-08-19
Fire & Emergency Medical Services,53.94,2009-12-31
District Department of Transportation,39.0,2009-12-16
Office of Victim Services,783.54,2009-05-15
Board of Elections & Ethics,98.52,2009-02-05
Office of Victim Services,26.95,2009-04-27
District Department of Transportation,128.0,2009-11-25
Office of Unified Communications,375.0,2009-10-19
Fire & Emergency Medical Services,320.0,2009-08-18
Department of Housing & Community Development,346.92,2009-11-18
Office of the Mayor,-12.0,2009-04-03
Office of the Chief Technology Officer,-198.0,2009-10-26
DC Public Library,33.39,2009-05-18
Department of Public Works,902.96,2009-07-07
Department of Human Services,1049.93,2009-04-01
Department of Health,986.65,2009-06-23
Fire & Emergency Medical Services,1064.0,2009-08-31
Metropolitan Police Department,79.0,2009-12-28
DC Taxicab Commission,2496.0,2009-02-23
Fire & Emergency Medical Services,36.0,2009-04-10
Department of Public Works,325.0,2009-04-24
Fire & Emergency Medical Services,82.59,2009-06-08
Department of Health,4.75,2009-06-08
Metropolitan Police Department,395.83,2009-06-24
DC Public Library,488.36,2009-08-08
Fire & Emergency Medical Services,886.26,2009-11-06
District Department of Transportation,711.01,2009-02-18
Department of  Youth Rehabilitation Services,623.7,2009-12-08
Office on Asian/Pacific Affairs,593.79,2009-09-23
Department of  Youth Rehabilitation Services,509.2,2009-02-26
District Department of Transportation,168.0,2009-11-20
Department of Mental Health,14.99,2009-09-30
Office of the State Superintendent of Education,283.5,2009-02-19
Office of the Chief Technology Officer,212.94,2009-11-25
District Department of Transportation,89.0,2009-12-21
Department of Employment Services,162.5,2009-07-28
Department on Disability Services,236.79,2009-11-25
Metropolitan Police Department,275.23,2009-06-15
Fire & Emergency Medical Services,910.06,2009-09-28
DC Department of Human Resources,289.5,2009-09-02
Department of Public Works,190.05,2009-04-30
Serve DC,368.81,2009-08-20
DC Office of Risk Management,60.0,2009-06-26
Office of the Chief Financial Officer,1335.0,2009-09-14
Fire & Emergency Medical Services,475.0,2009-05-15
DC Public Library,95.0,2009-02-05
Department of Mental Health,6.3,2009-09-10
Fire & Emergency Medical Services,84.39,2009-10-27
Department of Health,450.0,2009-08-23
Serve DC,371.68,2009-05-15
City Administrator/Deputy Mayor,227.37,2009-01-06
Office of the State Superintendent of Education,419.96,2009-08-18
Fire & Emergency Medical Services,250.0,2009-09-22
Office of Police Complaints,92.4,2009-08-21
Department of Health,1190.0,2009-08-05
Fire & Emergency Medical Services,497.0,2009-12-16
Department of Public Works,2493.05,2009-04-21
Judicial Nomination Commission,937.5,2009-09-23
Child & Family Services Administration,75.0,2009-11-19
Fire & Emergency Medical Services,58.44,2009-10-05
DC Public Library,398.36,2009-01-27
Metropolitan Police Department,94.0,2009-08-26
Department of Motor Vehicles,180.0,2009-03-13
Office of Victim Services,262.8,2009-08-13
Department of Parks & Recreation,26.0,2009-02-20
District Department of Transportation,2346.53,2009-07-17
Department of Motor Vehicles,639.9,2009-08-19
Office of the Chief Financial Officer,214.0,2009-03-19
Office of the Mayor,48.0,2009-07-15
District Department of Transportation,417.56,2009-04-17
Fire & Emergency Medical Services,2246.02,2009-09-04
Metropolitan Police Department,377.58,2009-10-11
Department of Public Works,-572.0,2009-08-21
Fire & Emergency Medical Services,1013.29,2009-03-17
Metropolitan Police Department,330.0,2009-07-13
District Department of Transportation,320.0,2009-08-19
Office of Community Affairs,307.0,2009-03-18
District Department of the Environment,199.0,2009-05-27
Office of the State Superintendent of Education,284.79,2009-05-11
Office of Contracting & Procurement,67.2,2009-05-29
Department on Disability Services,1491.34,2009-10-26
Department of  Youth Rehabilitation Services,54.95,2009-07-02
Fire & Emergency Medical Services,1671.56,2009-03-25
Department of Employment Services,625.59,2009-06-11
Department of  Youth Rehabilitation Services,241.19,2009-05-12
District Department of the Environment,169.5,2009-11-17
City Administrator/Deputy Mayor,30.49,2009-03-03
Metropolitan Police Department,69.98,2009-07-21
Commission of Judicial Disabilities & Tenure,275.0,2009-09-03
Department of  Youth Rehabilitation Services,2209.3,2009-08-26
Fire & Emergency Medical Services,691.12,2009-01-06
Department of Consumer & Regulatory Affairs,150.0,2009-03-19
Department of  Youth Rehabilitation Services,38.55,2009-10-28
District Department of Transportation,30.0,2009-05-12
University of the District of Columbia,1088.0,2009-09-08
Office of the Chief Financial Officer,103.0,2009-09-04
Office of the State Superintendent of Education,357.12,2009-04-22
Department of  Youth Rehabilitation Services,33.91,2009-11-10
Department of Property Management,150.0,2009-11-25
Office of the Chief Financial Officer,1686.05,2009-06-05
Metropolitan Police Department,254.32,2009-12-05
Office of the Tenant Advocate,243.25,2009-12-03
Office of the Chief Technology Officer,219.34,2009-08-10
Office of Administrative Hearings,375.0,2009-03-30
Department of Health,4.75,2009-11-04
Office of the State Superintendent of Education,1411.99,2009-07-17
District Department of Transportation,720.0,2009-06-11
Criminal Justice Coordinating Council,60.0,2009-01-16
Department of Property Management,18.75,2009-07-14
Office of Community Affairs,6.0,2009-05-12
Metropolitan Police Department,29.83,2009-11-25
Office of the Secretary,800.0,2009-08-20
Commission on Arts & Humanities,16.5,2009-03-22
Department on Disability Services,141.05,2009-09-23
DC Public Library,1204.16,2009-05-07
Department of Consumer & Regulatory Affairs,551.0,2009-09-18
Department of Health,691.26,2009-01-24
Department of  Youth Rehabilitation Services,203.14,2009-03-15
Department of Mental Health,157.56,2009-09-29
Office of the State Superintendent of Education,450.0,2009-01-08
Fire & Emergency Medical Services,-2750.25,2009-09-29
District Department of the Environment,-30.83,2009-09-01
Office of Cable TV,1307.96,2009-10-19
Department of Human Services,359.2,2009-03-25
Metropolitan Police Department,54.94,2009-12-29
Metropolitan Police Department,8.69,2009-11-26
Department of Public Works,205.2,2009-01-12
Child & Family Services Administration,690.0,2009-10-19
Office of the State Superintendent of Education,3.42,2009-06-04
Office of the Chief Financial Officer,-251.86,2009-08-13
Metropolitan Police Department,556.19,2009-10-08
Department of  Youth Rehabilitation Services,478.3,2009-10-23
DC Department of Human Resources,1649.56,2009-09-25
Department of Public Works,215.8,2009-05-04
District Department of Transportation,134.92,2009-01-29
Metropolitan Police Department,855.0,2009-12-15
Department of Education,77.4,2009-07-28
Disability Compensation Fund,149.0,2009-04-02
Metropolitan Police Department,48.0,2009-06-29
DC Public Library,14.28,2009-02-11
Fire & Emergency Medical Services,300.0,2009-02-06
Fire & Emergency Medical Services,465.88,2009-03-07
Serve DC,383.9,2009-11-12
Office of the Tenant Advocate,1825.0,2009-08-17
Department on Disability Services,8.49,2009-11-23
Department of Health,4.75,2009-06-08
Metropolitan Police Department,48.0,2009-08-26
Serve DC,234.45,2009-01-10
Department of  Youth Rehabilitation Services,420.79,2009-05-04
Department of Public Works,142.92,2009-03-23
Office of the Chief Financial Officer,2124.0,2009-08-05
DC Public Library,3.4,2009-01-08
Department on Disability Services,620.0,2009-07-27
Department of Health,384.06,2009-09-16
Commission on Arts & Humanities,814.97,2009-04-16
DC Department of Human Resources,3.2,2009-11-08
Office of Zoning,300.0,2009-08-06
Department of Mental Health,250.0,2009-06-29
Office on Aging,980.0,2009-04-29
Office of Motion Pictures & Television,61.0,2009-11-12
Contract Appeals Board,135.0,2009-09-15
Department of Public Works,110.88,2009-07-15
University of the District of Columbia,1650.0,2009-12-09
District Department of Transportation,647.28,2009-12-10
Department of Parks & Recreation,2273.51,2009-03-18
Fire & Emergency Medical Services,473.44,2009-10-02
Department of Employment Services,39.0,2009-06-09
Fire & Emergency Medical Services,844.82,2009-06-12
Judicial Nomination Commission,109.16,2009-05-01
Office of the Attorney General,6.63,2009-07-21
Fire & Emergency Medical Services,463.8,2009-11-21
Metropolitan Police Department,2430.45,2009-10-20
"Department of Insurance, Securities & Banking",1620.0,2009-09-02
Fire & Emergency Medical Services,724.06,2009-01-06
Metropolitan Police Department,76.0,2009-08-17
Department of Parks & Recreation,1776.75,2009-04-28
DC Department of Human Resources,549.83,2009-11-17
District Department of the Environment,238.89,2009-02-03
Medical Liability Captive Insurance Agency,292.4,2009-03-06
Office of the Attorney General,720.0,2009-03-17
District Department of Transportation,435.0,2009-10-23
Office of Zoning,95.0,2009-05-29
District Department of Transportation,500.0,2009-03-25
District Department of Transportation,-199.99,2009-03-09
Office of Justice Grants Administration,410.0,2009-04-28
Department of  Youth Rehabilitation Services,28.53,2009-03-17
Department of Health,4.75,2009-02-12
Office of Community Affairs,399.96,2009-05-21
Fire & Emergency Medical Services,1101.75,2009-04-28
Fire & Emergency Medical Services,1750.0,2009-03-17
Office of Contracting & Procurement,17.0,2009-11-13
Fire & Emergency Medical Services,375.0,2009-01-08
Office of Finance & Resource Management,110.0,2009-05-13
Metropolitan Police Department,440.0,2009-07-13
Fire & Emergency Medical Services,2408.5,2009-09-01
District Department of Transportation,263.89,2009-06-03
Department on Disability Services,68.0,2009-01-22
District Department of Transportation,125.0,2009-03-07
District Department of Transportation,164.28,2009-02-19
Office of the Tenant Advocate,17.0,2009-09-18
Department of Employment Services,-33.2,2009-02-05
District Department of Transportation,1778.62,2009-06-10
Department of  Youth Rehabilitation Services,754.52,2009-09-14
District Department of Transportation,100.0,2009-04-21
Fire & Emergency Medical Services,-99.9,2009-07-20
Department of Corrections,385.32,2009-11-06
Department of Motor Vehicles,1022.67,2009-03-07
District Department of Transportation,200.0,2009-06-25
District Department of the Environment,84.32,2009-05-08
Fire & Emergency Medical Services,509.2,2009-02-26
District Department of Transportation,387.2,2009-01-14
Department of Human Services,230.2,2009-08-07
Office of Partnership & Grant Services,1454.0,2009-09-25
Department of Human Services,132.91,2009-09-16
District Department of Transportation,28.74,2009-05-15
Office of Municipal Planning,446.0,2009-05-26
Department of Corrections,36.04,2009-11-04
University of the District of Columbia,1049.95,2009-08-21
Department of Human Services,31.98,2009-12-08
Fire & Emergency Medical Services,850.0,2009-06-16
Department of Public Works,225.0,2009-09-21
Fire & Emergency Medical Services,453.2,2009-10-21
Department of Consumer & Regulatory Affairs,95.4,2009-07-06
Office of the State Superintendent of Education,219.2,2009-08-12
Contract Appeals Board,1475.09,2009-03-20
Department of Corrections,295.0,2009-07-08
Deputy Mayor for Economic Development,19.94,2009-09-03
Office of the Attorney General,2409.91,2009-11-16
Metropolitan Police Department,29.51,2009-10-28
District Department of Transportation,209.04,2009-01-26
Fire & Emergency Medical Services,1602.8,2009-03-11
Office of the Chief Technology Officer,-10.93,2009-04-07
Child & Family Services Administration,2600.0,2009-12-17
Fire & Emergency Medical Services,105.96,2009-07-20
District Department of Transportation,-33.41,2009-03-20
Department on Disability Services,812.5,2009-08-25
Office of Human Rights,236.0,2009-04-08
Fire & Emergency Medical Services,49.96,2009-03-24
Department of Consumer & Regulatory Affairs,13.01,2009-06-26
Office of the Chief Financial Officer,160.0,2009-04-15
Metropolitan Police Department,545.0,2009-10-13
Department on Disability Services,832.9,2009-06-22
Fire & Emergency Medical Services,579.45,2009-02-12
Office of the Chief Technology Officer,1310.0,2009-04-28
Office of the State Superintendent of Education,347.9,2009-04-22
Office of the Chief Financial Officer,217.04,2009-04-01
Department of Health,64.95,2009-01-26
Fire & Emergency Medical Services,2122.59,2009-07-10
Alcoholic Beverage Regulation Administration,1608.83,2009-04-01
Metropolitan Police Department,39.96,2009-10-16
Office of the Chief Technology Officer,1360.0,2009-05-26
Office of the Inspector General,1144.79,2009-11-09
District Department of Transportation,494.0,2009-06-11
Department of Health,245.0,2009-06-10
Department of Public Works,89.0,2009-12-20
Fire & Emergency Medical Services,188.24,2009-10-07
DC Sentencing & Criminal Code Review Committee,1061.92,2009-02-11
Department of Public Works,327.0,2009-07-31
Department of  Youth Rehabilitation Services,1195.0,2009-09-28
Fire & Emergency Medical Services,179.53,2009-10-27
Department of Health,32.54,2009-03-11
Office of Contracting & Procurement,839.4,2009-07-27
Office of Zoning,1947.5,2009-10-19
Fire & Emergency Medical Services,190.46,2009-12-19
Office of the State Superintendent of Education,173.7,2009-02-13
Office of the Chief Financial Officer,-125.98,2009-11-09
Office on Aging,339.2,2009-09-23
District Department of Transportation,-14.75,2009-11-09
Office on Asian/Pacific Affairs,1090.0,2009-08-27
Department of Public Works,1600.06,2009-04-17
Department of Human Services,15.0,2009-08-20
University of the District of Columbia,569.2,2009-10-29
DC Public Library,813.57,2009-03-10
Office of Municipal Planning,424.2,2009-02-26
Office of Community Affairs,89.09,2009-07-08
Department of Consumer & Regulatory Affairs,135.0,2009-12-18
Metropolitan Police Department,695.0,2009-11-04
District Department of the Environment,2139.84,2009-04-06
District Department of the Environment,1495.0,2009-08-05
Metropolitan Police Department,491.67,2009-07-24
Fire & Emergency Medical Services,71.76,2009-02-25
Department of  Youth Rehabilitation Services,1043.88,2009-03-23
Office of the State Superintendent of Education,210.0,2009-05-06
Alcoholic Beverage Regulation Administration,84.99,2009-01-05
Department of Health,525.0,2009-09-01
Department on Disability Services,2120.55,2009-07-28
Department of Public Works,2028.29,2009-04-13
Department of Employment Services,375.0,2009-03-30
District Department of Transportation,1234.0,2009-08-06
Department of Public Works,131.74,2009-12-18
Office of the Chief Financial Officer,320.0,2009-04-27
DC National Guard,171.6,2009-06-09
Fire & Emergency Medical Services,295.0,2009-03-05
Department on Disability Services,1865.6,2009-12-04
Office of the Chief Medical Examiner,715.0,2009-09-23
Department of Public Works,473.54,2009-01-23
DC Public Library,25.0,2009-08-03
Department of Human Services,781.44,2009-09-10
Office of the Chief Financial Officer,109.5,2009-03-09
Department of Health,450.0,2009-01-23
Office of the Chief Financial Officer,60.0,2009-05-14
Fire & Emergency Medical Services,-21.67,2009-04-23
Department on Disability Services,219.2,2009-03-17
Office of Latino Affairs,15.0,2009-07-15
DC Public Library,615.67,2009-06-17
Office of Disability Rights,164.5,2009-05-14
University of the District of Columbia,153.0,2009-09-04
Department of Public Works,99.6,2009-04-27
Department on Disability Services,150.0,2009-12-22
District Department of the Environment,460.97,2009-08-11
Metropolitan Police Department,550.0,2009-05-14
Fire & Emergency Medical Services,2950.0,2009-01-27
Department of Housing & Community Development,898.2,2009-02-21
Department of Public Works,306.62,2009-12-29
District Department of the Environment,2489.19,2009-09-03
Fire & Emergency Medical Services,350.8,2009-01-26
District Department of the Environment,17.0,2009-11-13
Department of Health,46.37,2009-09-16
Department of Public Works,1395.0,2009-07-10
Fire & Emergency Medical Services,103.63,2009-05-01
Child & Family Services Administration,225.0,2009-05-22
Department of Public Works,72.0,2009-06-02
Department of  Youth Rehabilitation Services,510.0,2009-02-17
Office of the Mayor,1961.9,2009-03-04
Office of the Chief Technology Officer,1515.5,2009-09-15
Fire & Emergency Medical Services,675.48,2009-02-26
Office of Disability Rights,200.0,2009-09-25
Department of Property Management,-213.0,2009-01-09
Department of Health,850.0,2009-09-18
Office of Unified Communications,1004.8,2009-05-22
Department of Employment Services,2854.7,2009-04-15
Department of Public Works,1250.0,2009-11-19
Department of Health,4764.2,2009-11-10
Department of Health,1860.0,2009-12-10
Department of Property Management,25.43,2009-03-31
DC Department of Human Resources,100.0,2009-12-17
Department of Health,4.75,2009-06-03
Department of Health Care Finance,59.98,2009-09-02
Department of Health,1741.85,2009-08-28
Office of the State Superintendent of Education,1874.91,2009-09-28
Department of Mental Health,470.64,2009-06-26
Metropolitan Police Department,4797.0,2009-05-01
Office of the Inspector General,600.0,2009-06-26
Department of Property Management,54.25,2009-06-30
Office of the Chief Financial Officer,261.84,2009-06-23
Metropolitan Police Department,315.54,2009-04-02
District Department of the Environment,2135.0,2009-09-18
District Department of Transportation,120.0,2009-05-06
Department of Employment Services,359.79,2009-12-09
Office of Administrative Hearings,-22.99,2009-04-30
Metropolitan Police Department,4192.22,2009-07-27
Office of the Chief Financial Officer,750.0,2009-02-05
Department of Health,169.0,2009-08-21
Department of Parks & Recreation,38.33,2009-08-12
Office of Police Complaints,232.29,2009-11-04
Department of Mental Health,630.2,2009-10-15
Fire & Emergency Medical Services,207.0,2009-06-05
Office of Contracting & Procurement,888.0,2009-02-05
District Department of Transportation,27.29,2009-09-04
Department of Health,538.76,2009-06-15
District Department of Transportation,83.9,2009-07-27
District Department of the Environment,1645.0,2009-04-24
Department on Disability Services,426.98,2009-07-08
Fire & Emergency Medical Services,2595.09,2009-05-21
District Department of the Environment,1080.0,2009-03-13
Department of Consumer & Regulatory Affairs,78.1,2009-07-31
Metropolitan Police Department,275.0,2009-01-27
District Department of Transportation,25.0,2009-07-13
Department of  Youth Rehabilitation Services,1261.64,2009-01-06
District Department of Transportation,419.5,2009-05-30
Fire & Emergency Medical Services,-2750.25,2009-09-29
Department on Disability Services,28.76,2009-08-19
Office of the Chief Technology Officer,150.0,2009-06-15
Department of Public Works,89.0,2009-12-20
Office of Human Rights,501.0,2009-11-12
District Department of the Environment,1504.75,2009-08-21
Department of Housing & Community Development,814.0,2009-11-17
Fire & Emergency Medical Services,723.0,2009-09-30
Department of Property Management,536.0,2009-01-21
Commission of Judicial Disabilities & Tenure,137.48,2009-08-11
Department of  Youth Rehabilitation Services,46.45,2009-09-01
Metropolitan Police Department,150.25,2009-12-08
Department of Mental Health,249.85,2009-06-18
Department on Disability Services,613.11,2009-03-05
DC Taxicab Commission,140.0,2009-02-18
Fire & Emergency Medical Services,50.0,2009-02-20
Fire & Emergency Medical Services,151.96,2009-06-04
Fire & Emergency Medical Services,183.2,2009-06-04
Department of  Youth Rehabilitation Services,2630.57,2009-09-28
Office of Cable TV,329.7,2009-07-15
Department of Mental Health,257.58,2009-12-04
Department of Public Works,570.0,2009-07-07
DC Public Library,672.0,2009-10-29
"Department of Insurance, Securities & Banking",203.51,2009-01-07
Fire & Emergency Medical Services,50.0,2009-09-24
Metropolitan Police Department,190.46,2009-12-19
Department of Public Works,938.0,2009-06-04
Department of Public Works,1352.8,2009-07-27
Office of the Chief Financial Officer,83.25,2009-09-05
DC Department of Human Resources,207.31,2009-04-03
Fire & Emergency Medical Services,475.97,2009-04-23
Department of Property Management,2310.0,2009-07-20
Metropolitan Police Department,176.74,2009-10-23
Department of Consumer & Regulatory Affairs,330.0,2009-12-07
Fire & Emergency Medical Services,885.0,2009-01-19
Department of Property Management,222.5,2009-09-18
Office of Administrative Hearings,-362.07,2009-02-18
Department on Disability Services,253.56,2009-01-05
Office of the Chief Technology Officer,2488.3,2009-04-03
Fire & Emergency Medical Services,130.0,2009-10-27
District Department of Transportation,6.29,2009-06-29
Office of Cable TV,58.89,2009-07-01
Office of the Mayor,-135.96,2009-07-17
Alcoholic Beverage Regulation Administration,496.93,2009-11-18
DC Public Library,1670.44,2009-08-28
Office of the State Superintendent of Education,169.0,2009-08-21
Fire & Emergency Medical Services,228.9,2009-09-16
Department of Health,4.75,2009-02-03
Metropolitan Police Department,526.68,2009-11-12
Department of Health,-195.0,2009-03-25
Department of Health,489.3,2009-09-20
Metropolitan Police Department,15.25,2009-05-23
Metropolitan Police Department,729.95,2009-01-22
Department of Corrections,595.0,2009-06-23
Office of the Chief Medical Examiner,19.72,2009-09-21
Office of the Chief Financial Officer,394.52,2009-06-18
Office of the Chief Medical Examiner,1360.0,2009-09-08
District Department of Transportation,13.3,2009-04-21
DC Public Library,21.54,2009-07-21
Department of Public Works,71.98,2009-11-02
Office of the Chief Financial Officer,160.0,2009-08-15
Department of Corrections,599.98,2009-09-21
Metropolitan Police Department,-1205.0,2009-02-04
Criminal Justice Coordinating Council,475.0,2009-07-09
Office of Human Rights,808.95,2009-04-15
District Department of Transportation,1486.28,2009-01-10
Department of Health,4.75,2009-02-03
District Department of the Environment,150.0,2009-08-06
Deputy Mayor for Economic Development,1575.0,2009-12-15
Office of the Chief Financial Officer,943.9,2009-08-03
DC Lottery & Charitable Games Control Board,45.0,2009-02-18
Fire & Emergency Medical Services,477.12,2009-04-14
Department of Employment Services,100.0,2009-02-07
Office of the Chief Financial Officer,1495.0,2009-03-10
Board of Elections & Ethics,58.49,2009-09-24
District Department of the Environment,8.0,2009-04-03
Child & Family Services Administration,55.2,2009-04-13
Office of the Chief Financial Officer,589.3,2009-07-13
Office of Public Educational Facilities Modernization,388.9,2009-01-09
DC Public Library,1901.06,2009-09-17
Office of Contracting & Procurement,75.35,2009-06-16
Department of Motor Vehicles,325.0,2009-05-27
Department on Disability Services,1263.25,2009-11-13
Fire & Emergency Medical Services,335.95,2009-09-08
Department of  Youth Rehabilitation Services,52.5,2009-06-04
Metropolitan Police Department,250.4,2009-04-08
Office of the Chief Financial Officer,10.0,2009-11-05
Fire & Emergency Medical Services,736.7,2009-09-25
Office of the Inspector General,7.0,2009-02-03
DC Department of Human Resources,902.96,2009-03-09
Department of Health,195.0,2009-10-28
Department of Health,4.75,2009-01-06
Department of Health,328.62,2009-03-05
Office of the Chief Financial Officer,824.0,2009-07-22
Department of Health,1270.5,2009-08-26
District Department of Transportation,-99.99,2009-09-01
Department of Motor Vehicles,118.8,2009-04-28
District Department of Transportation,1238.91,2009-05-21
District Department of the Environment,250.0,2009-09-11
Department of Corrections,1000.0,2009-09-10
Office of the Mayor,539.2,2009-06-26
Fire & Emergency Medical Services,205.0,2009-10-09
Department of Mental Health,283.33,2009-05-08
City Administrator/Deputy Mayor,197.65,2009-08-25
District Department of Transportation,1978.0,2009-05-27
Office of the Inspector General,60.0,2009-08-24
University of the District of Columbia,92.05,2009-08-13
"Department of Insurance, Securities & Banking",212.14,2009-01-08
Serve DC,139.2,2009-08-03
Department on Disability Services,395.0,2009-02-25
DC Department of Human Resources,199.0,2009-01-24
Department of Motor Vehicles,863.39,2009-09-24
Department of Health,4.75,2009-09-03
Department of Health,4.75,2009-05-04
Department of Education,7.44,2009-01-09
Department of Public Works,1290.0,2009-09-10
Metropolitan Police Department,25.15,2009-05-17
Department of Housing & Community Development,447.0,2009-09-22
Metropolitan Police Department,10.23,2009-03-24
District Department of Transportation,275.79,2009-01-16
District Department of Transportation,2000.0,2009-06-23
Fire & Emergency Medical Services,25.72,2009-09-17
Office of the Secretary,3318.75,2009-08-19
Department of Health,125.0,2009-06-03
Department of Motor Vehicles,1900.0,2009-05-08
Office of the Chief Financial Officer,438.15,2009-11-13
District Department of Transportation,632.0,2009-05-06
Department of Health,2480.4,2009-03-04
Fire & Emergency Medical Services,75.72,2009-08-11
District Department of Transportation,-7.74,2009-07-11
