AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Office of Unified Communications,1556.9814269503763,2009-05-22
Office of the Chief Technology Officer,564.6676262012079,2009-06-24
DC Public Library,-2375.851106277408,2009-12-09
University of the District of Columbia,271.1380501954776,2009-09-15
Commission on Arts & Humanities,271.04347059858,2009-12-08
Office of the State Superintendent of Education,-120.97926902758041,2009-02-13
Fire & Emergency Medical Services,949.7757973322894,2009-09-24
DC Public Library,1667.8916356308698,2009-07-08
DC Public Library,88.22524807629317,2009-11-09
District Department of Transportation,515.2763506740031,2009-11-25
Fire & Emergency Medical Services,-3.5667837916375333,2009-02-23
Office of the Chief Technology Officer,912.6802560689264,2009-07-23
Fire & Emergency Medical Services,778.9861417128017,2009-07-15
DC Office of Risk Management,-128.54391255011956,2009-12-14
Department of Education,530.286285343758,2009-08-13
Fire & Emergency Medical Services,61.3397714774068,2009-10-01
Fire & Emergency Medical Services,113.11295284336933,2009-07-23
District Department of Transportation,860.2883590612453,2009-04-22
Alcoholic Beverage Regulation Administration,-18.81097191869148,2009-06-10
Fire & Emergency Medical Services,66.85302477283918,2009-04-22
DC Public Library,-159.9680383036013,2009-05-15
Office of the Chief Medical Examiner,1439.582904734533,2009-06-16
District Department of Transportation,576.8365220603545,2009-05-30
Office of Municipal Planning,796.0788471260026,2009-10-16
Fire & Emergency Medical Services,101.12539380869096,2009-04-22
Alcoholic Beverage Regulation Administration,452.26330931270473,2009-04-21
Department of Human Services,138.61464269624193,2009-09-24
Metropolitan Police Department,403.7657299653389,2009-09-09
Department of Property Management,2363.1020729204256,2009-07-07
Office of the Inspector General,2086.235930996893,2009-06-04
Department of Motor Vehicles,-13.933627635899597,2009-11-12
Department of Small & Local Business Development,56.35734589964587,2009-02-25
Fire & Emergency Medical Services,119.85286145641486,2009-09-24
Department of Property Management,106.24683138203022,2009-10-02
DC Taxicab Commission,1272.2619778391825,2009-11-05
District Department of the Environment,199.39653752462948,2009-07-14
Serve DC,1205.3668136716697,2009-07-22
Office of Administrative Hearings,-64.50230506742272,2009-12-30
Office of Partnership & Grant Services,256.4937104054009,2009-08-13
Office of Community Affairs,308.9915183680254,2009-06-23
Department of Corrections,461.9647315979582,2009-01-16
Office of the Mayor,1224.64607704621,2009-08-18
Office of the Chief Financial Officer,-33.88407826531147,2009-11-20
Office of the State Superintendent of Education,432.6585284395337,2009-08-05
District Department of Transportation,194.864139399554,2009-12-01
City Administrator/Deputy Mayor,471.78808164674115,2009-07-14
Department of Employment Services,18.640928088166916,2009-06-16
District Department of the Environment,2544.847973882169,2009-09-29
District Department of Transportation,891.0280851875801,2009-11-09
Department of Human Services,301.34562138865124,2009-02-20
Department of Health,-7.328960176022576,2009-04-08
Fire & Emergency Medical Services,-8.148057677112675,2009-08-26
Department of Human Services,15.248001741160294,2009-12-30
Office on Aging,1422.485986383178,2009-12-03
Department of Mental Health,370.7610827815382,2009-05-12
Metropolitan Police Department,167.52465024180526,2009-12-09
Department of Housing & Community Development,1825.664092668646,2009-03-03
Commission on Arts & Humanities,113.64137917279572,2009-05-28
Department of Health,-214.2815236955335,2009-06-16
Department of Employment Services,369.8613950095839,2009-10-30
Fire & Emergency Medical Services,-6.8071185680280735,2009-02-18
Department of  Youth Rehabilitation Services,-5.7956179222864925,2009-01-06
District Department of the Environment,1856.7862019624874,2009-04-14
District Department of Transportation,163.79813400556753,2009-06-19
Department of  Youth Rehabilitation Services,228.87631980462794,2009-05-19
DC Public Library,631.1679309763142,2009-12-18
Department of Corrections,426.1624805528954,2009-06-24
Office of the Chief Financial Officer,261.61964163610963,2009-03-30
Department of Public Works,454.46826689808506,2009-04-13
Office of the State Superintendent of Education,448.1861603649819,2009-05-14
Office of the Chief Financial Officer,102.02384856302267,2009-04-08
University of the District of Columbia,63.24418146801577,2009-07-06
District Department of Transportation,138.3669202903239,2009-12-04
Fire & Emergency Medical Services,9.52990659980031,2009-11-05
Fire & Emergency Medical Services,2227.1684527887764,2009-04-28
Department of Consumer & Regulatory Affairs,749.8564191762564,2009-12-30
Department of Property Management,123.91362310800645,2009-03-19
Department on Disability Services,49.81544866414873,2009-09-02
Department of Health,665.831481028371,2009-04-27
District Department of Transportation,176.53866523783898,2009-07-23
Fire & Emergency Medical Services,344.0994985711485,2009-01-13
Criminal Justice Coordinating Council,1841.1070046844866,2009-06-05
Department of Health,706.7522236891394,2009-09-22
Office of the Chief Technology Officer,-7.578721343047988,2009-09-05
Department of Corrections,401.1162719036463,2009-10-22
Fire & Emergency Medical Services,-47.596435910782404,2009-03-06
District Department of Transportation,2823.701095723161,2009-04-21
Serve DC,193.8049499206761,2009-09-16
DC Public Library,-16.907058752127128,2009-10-13
Metropolitan Police Department,370.66075368459155,2009-08-21
Department of Public Works,109.74145347592133,2009-03-10
Metropolitan Police Department,700.3600411413844,2009-04-29
Department of  Youth Rehabilitation Services,95.86476790073667,2009-08-13
Office of Community Affairs,1363.216719866344,2009-05-21
Department of Public Works,623.4301396468583,2009-04-21
DC Office of Risk Management,52.11312773229277,2009-09-03
Fire & Emergency Medical Services,210.31932670636655,2009-11-04
DC Public Library,701.4221970562527,2009-07-14
District Department of Transportation,-154.28462814147028,2009-12-16
Department of Public Works,542.0039981935646,2009-06-23
District Department of Transportation,222.52997390657708,2009-01-27
Metropolitan Police Department,318.462872901234,2009-12-17
District Department of Transportation,271.09444123634285,2009-04-01
Fire & Emergency Medical Services,1267.4363872772358,2009-12-08
Fire & Emergency Medical Services,2.0928343668872884,2009-10-28
Office of Municipal Planning,451.66363842404144,2009-02-04
Fire & Emergency Medical Services,59.171389977059576,2009-10-21
DC Public Library,403.96885610451784,2009-04-28
Department of Education,463.67467766500994,2009-01-15
Department of  Youth Rehabilitation Services,57.7645651213802,2009-01-09
Department of Health,408.8826977790017,2009-03-19
Metropolitan Police Department,9.869157409232464,2009-12-09
Child & Family Services Administration,657.6881891543204,2009-11-30
Department of Health,1321.8638336831552,2009-04-22
Department of Health,327.6531340869235,2009-05-20
Commission of Judicial Disabilities & Tenure,601.3415757541618,2009-05-21
Department of Consumer & Regulatory Affairs,-68.69106233484364,2009-03-09
Office of Disability Rights,545.7682165505784,2009-09-03
District Department of Transportation,-121.1533421006081,2009-04-21
Department of Health,711.5003306713573,2009-12-29
Metropolitan Police Department,180.2638106910893,2009-08-24
Department of Education,1154.5573595779665,2009-10-17
Office of the Chief Technology Officer,1196.556250297354,2009-01-21
Fire & Emergency Medical Services,2532.7020879706233,2009-08-24
Metropolitan Police Department,11.848820939896738,2009-12-10
Department of  Youth Rehabilitation Services,420.20138196121604,2009-05-13
District Department of Transportation,3.6762179162639086,2009-10-21
DC Office of Risk Management,277.086232770996,2009-06-18
Fire & Emergency Medical Services,2191.031604362045,2009-01-27
Department of Mental Health,-28.74519866865741,2009-08-10
Department of Public Works,89.88182730592811,2009-12-02
District Department of the Environment,2434.1551905164806,2009-03-04
Department of Property Management,518.8872436773979,2009-06-04
Department of Parks & Recreation,1144.3884583825027,2009-11-21
Office of Unified Communications,762.195308410031,2009-01-28
Child & Family Services Administration,68.2662820639002,2009-03-04
Metropolitan Police Department,223.02251952580076,2009-03-19
District Department of Transportation,64.81349313134125,2009-11-05
DC Public Library,272.86518114041246,2009-09-04
District Department of Transportation,260.3744790029017,2009-03-17
Office of the Inspector General,-142.384179247038,2009-11-19
District Department of Transportation,209.0375627507472,2009-07-06
District Department of Transportation,1274.7782528359292,2009-04-26
Deputy Mayor for Economic Development,142.4982250743122,2009-11-07
Department of Small & Local Business Development,254.41564761481126,2009-10-27
Department of Human Services,454.11181879020535,2009-10-30
Department of Property Management,184.50403737565335,2009-06-17
Metropolitan Police Department,34.759142261078495,2009-07-22
Department of  Youth Rehabilitation Services,134.87333293408994,2009-08-10
Fire & Emergency Medical Services,411.0280614971333,2009-09-03
Office of Police Complaints,321.9512695250813,2009-12-09
Department of Employment Services,2044.4321190286485,2009-11-18
Department of  Youth Rehabilitation Services,170.0205267161121,2009-09-29
Department of Public Works,126.63938604341365,2009-08-17
District Department of Transportation,1994.085823309669,2009-07-31
DC Department of Human Resources,2468.369395291998,2009-12-09
Department of Health,-77.94040521062647,2009-03-25
Department of Public Works,773.941451131924,2009-06-11
Office of Disability Rights,176.14114058463636,2009-05-20
Fire & Emergency Medical Services,816.4694715027769,2009-01-19
Department of Public Works,28.04904406022618,2009-02-19
Office of Contracting & Procurement,1436.3864707686369,2009-12-16
Department of Human Services,223.6730638564748,2009-11-25
Alcoholic Beverage Regulation Administration,363.66117248200396,2009-02-05
DC National Guard,-4.91469886898053,2009-10-21
Department of  Youth Rehabilitation Services,71.30609523480936,2009-04-21
Department of  Youth Rehabilitation Services,468.5087300711185,2009-08-20
Department of Corrections,142.7968534374198,2009-02-04
Metropolitan Police Department,76.94642207985827,2009-11-23
Department of Employment Services,339.40287998115133,2009-04-10
Office of the Chief Financial Officer,603.5954506847855,2009-05-14
Office of the Chief Technology Officer,549.0757748627175,2009-06-04
Department of Small & Local Business Development,168.42293943762178,2009-09-27
Fire & Emergency Medical Services,321.6883111227025,2009-02-26
DC Department of Human Resources,879.1570439162695,2009-11-12
Metropolitan Police Department,499.76593455134383,2009-12-23
Department of Property Management,-38.04187987536072,2009-05-27
Fire & Emergency Medical Services,569.9211002086379,2009-06-23
Department of Parks & Recreation,961.5567582629781,2009-06-23
District Department of the Environment,1505.665197966008,2009-06-13
Department of  Youth Rehabilitation Services,65.41956378344244,2009-05-07
Office on Asian/Pacific Affairs,313.95958099266244,2009-10-01
University of the District of Columbia,-19.61256642272278,2009-04-01
Department of  Youth Rehabilitation Services,2258.202405997559,2009-12-21
Office of the Inspector General,148.01168297227565,2009-07-10
DC Public Library,158.92714676300926,2009-11-05
Department of Public Works,97.74026372477461,2009-06-16
Office of the Chief Financial Officer,90.97826393362644,2009-01-23
Fire & Emergency Medical Services,272.9725914529934,2009-10-27
Department of Public Works,-51.04981533179205,2009-10-01
Department on Disability Services,1218.3370550194302,2009-11-20
Department of Corrections,318.47784774911975,2009-06-23
Office of the Inspector General,-105.09908286856589,2009-08-18
Fire & Emergency Medical Services,680.279923544353,2009-02-20
District Department of Transportation,1211.724625305801,2009-12-28
Department of Public Works,-144.10484895148258,2009-04-22
DC Public Library,280.4375292255515,2009-08-12
DC Taxicab Commission,1180.2873880287234,2009-12-07
Fire & Emergency Medical Services,465.59726570744175,2009-02-26
Department of Housing & Community Development,2069.397208731779,2009-06-01
Metropolitan Police Department,39.735899327879196,2009-12-18
District Department of Transportation,200.37488386305932,2009-04-20
Fire & Emergency Medical Services,729.414357590277,2009-04-09
Office of Municipal Planning,-35.20191609606084,2009-04-02
Office of Public Educational Facilities Modernization,271.4586739789346,2009-06-16
Office of the Mayor,273.9384572942226,2009-06-08
Department of Corrections,1623.2927529914164,2009-01-09
Homeland Security/Emergency Management,323.7200604033718,2009-12-05
Department of Public Works,291.01479335862473,2009-05-14
DC Department of Human Resources,1945.2068485440145,2009-07-20
Office of the State Superintendent of Education,-56.02427257657959,2009-03-24
Office of the Chief Technology Officer,274.6101205952337,2009-07-14
Fire & Emergency Medical Services,168.39839943882245,2009-06-29
Department of Public Works,69.93459739142952,2009-03-24
Office of the Chief Financial Officer,1812.0554320773563,2009-12-04
Department of Public Works,160.79905279939,2009-07-18
District Department of the Environment,453.0330414598699,2009-06-04
Office of the Tenant Advocate,505.4033353693608,2009-04-29
Office on Aging,-92.23717684213497,2009-10-02
Department of Human Services,410.251487831417,2009-09-02
Office of the State Superintendent of Education,-113.02668819308485,2009-02-13
District Department of Transportation,787.5068368426362,2009-02-23
Fire & Emergency Medical Services,110.20164821717506,2009-06-25
Department of Corrections,1338.6671046321649,2009-12-10
District Department of the Environment,2035.5332929551175,2009-09-19
District Department of the Environment,538.4243372201042,2009-03-25
Contract Appeals Board,-88.78913062064942,2009-01-07
Department of Employment Services,-185.69915898803131,2009-09-03
Office of Unified Communications,119.6133361447371,2009-11-16
DC Public Library,313.8060172874909,2009-06-18
District Department of Transportation,-549.5324882632638,2009-06-05
Office of Victim Services,406.600562563333,2009-01-29
Office on Aging,457.6219767221757,2009-07-27
Department on Disability Services,2391.502712460814,2009-12-07
Department of Health,32.86334448879945,2009-07-16
Fire & Emergency Medical Services,65.4156692826541,2009-12-09
Department on Disability Services,986.4295634196242,2009-01-15
Office of the State Superintendent of Education,3092.464481837842,2009-09-25
Office of the Chief Financial Officer,155.58844182435953,2009-06-23
Office of Unified Communications,1998.4962034587302,2009-10-29
Commission on Arts & Humanities,230.94172523304388,2009-02-06
Department of Health,1955.682955231932,2009-12-22
Fire & Emergency Medical Services,2238.0101677459133,2009-03-11
Fire & Emergency Medical Services,235.0706693306887,2009-06-16
Department of Property Management,1549.6626371465004,2009-06-12
Department of Health,853.4798186040945,2009-02-04
Fire & Emergency Medical Services,155.62777318506153,2009-05-28
Department of Health,320.5711919262429,2009-11-03
Department of Health,50.93394295472851,2009-02-26
Department of Corrections,105.62357138099273,2009-09-11
Office of the State Superintendent of Education,163.90080793017773,2009-05-01
Metropolitan Police Department,1713.4543881440134,2009-07-23
Department on Disability Services,232.9364648266979,2009-05-07
Office of the Tenant Advocate,600.9126473200997,2009-11-03
Fire & Emergency Medical Services,430.82747118450817,2009-06-11
Commission on Arts & Humanities,680.2099635766981,2009-05-15
Office of the Mayor,244.9435341254785,2009-11-06
Metropolitan Police Department,164.92451957516687,2009-07-10
Office of the Attorney General,2201.436889416601,2009-05-13
Office of the State Superintendent of Education,1094.2051483081557,2009-06-17
Alcoholic Beverage Regulation Administration,107.58489874226288,2009-07-02
District Department of Transportation,326.5981385961714,2009-04-13
Office of the Tenant Advocate,84.68961538671685,2009-01-21
Department of Health,-120.36741692794048,2009-12-15
Office of the Mayor,414.595249090029,2009-09-22
Department of Consumer & Regulatory Affairs,2987.728149843549,2009-04-24
District Department of Transportation,402.2812047222123,2009-11-12
District Department of Transportation,135.86821504007986,2009-11-19
Department of Health,2318.896271568187,2009-02-28
Commission on Arts & Humanities,621.9770199811564,2009-05-28
Fire & Emergency Medical Services,-44.43149906565588,2009-05-21
Office of Administrative Hearings,2905.6998329059143,2009-08-07
University of the District of Columbia,676.6503520638597,2009-05-06
Office of the Secretary,242.85266380676413,2009-02-06
Office of the Chief Financial Officer,1918.2661402528634,2009-03-30
Department of  Youth Rehabilitation Services,209.80218142527244,2009-05-21
Department of  Youth Rehabilitation Services,197.41491556559126,2009-04-07
Office of Cable TV,3918.651995067606,2009-01-28
Department of Corrections,888.7506670604714,2009-06-09
Office of the State Superintendent of Education,117.20861704665667,2009-10-19
Department of Motor Vehicles,-1020.1869545627562,2009-09-15
Fire & Emergency Medical Services,310.23615384375375,2009-07-13
Fire & Emergency Medical Services,145.1093459534808,2009-10-20
Office of the State Superintendent of Education,-114.46547248975375,2009-07-15
Department of  Youth Rehabilitation Services,2013.8714175034245,2009-08-03
Department of Public Works,430.74538928957173,2009-12-02
Metropolitan Police Department,428.1517819275221,2009-08-20
Office of the Mayor,-238.23880878623862,2009-01-09
Department of  Youth Rehabilitation Services,3.4908781482762805,2009-02-19
Department of Property Management,2008.2133082252983,2009-04-02
Office of the Chief Medical Examiner,375.19179211986585,2009-03-18
DC Public Library,1206.8620958490694,2009-05-28
Office of the State Superintendent of Education,69.7438170872363,2009-06-03
Office of Police Complaints,-121.63265744217827,2009-02-18
Alcoholic Beverage Regulation Administration,-115.29722650850705,2009-04-10
Office of the State Superintendent of Education,937.5230428667935,2009-04-06
Department of Property Management,372.2369487429967,2009-06-05
Department of  Youth Rehabilitation Services,164.07092625513695,2009-04-13
Child & Family Services Administration,2061.2947800144166,2009-09-07
Office of the Chief Technology Officer,482.2245120692853,2009-02-17
DC Public Library,2009.5753085459783,2009-11-05
Office of the Secretary,-42.06266367519443,2009-04-03
Department of Public Works,92.98687684369747,2009-06-05
Department of Property Management,-435.20631601554476,2009-12-18
Department of Employment Services,1892.8948473869661,2009-06-18
Department of  Youth Rehabilitation Services,214.53881234762753,2009-08-26
Office of Disability Rights,227.05072666255955,2009-04-21
Department of Employment Services,-77.48009900585204,2009-04-02
Department of Public Works,369.11655234961773,2009-11-24
Serve DC,-98.50428974406317,2009-08-13
District Department of Transportation,164.85459819962944,2009-12-14
District Department of Transportation,1376.8877092909572,2009-05-27
District Department of Transportation,451.7818351949046,2009-07-16
Office of the Chief Financial Officer,1736.1536940477233,2009-06-01
District Department of Transportation,213.91460345567987,2009-09-30
Department of  Youth Rehabilitation Services,8.882354115940835,2009-01-12
Fire & Emergency Medical Services,224.00775549254325,2009-11-12
Fire & Emergency Medical Services,1841.083714263507,2009-03-12
Fire & Emergency Medical Services,952.4656581284353,2009-10-23
District Department of the Environment,1680.6307730304754,2009-09-14
Metropolitan Police Department,801.8626922365157,2009-11-04
Office of the State Superintendent of Education,219.29899112409592,2009-04-20
DC Office of Risk Management,456.21497825204074,2009-10-10
Department of Health,745.4085570044517,2009-03-05
Office of the State Superintendent of Education,511.0749065174055,2009-07-22
Department of Human Services,71.25991837953946,2009-05-28
Fire & Emergency Medical Services,413.80349900698855,2009-03-24
Department of Public Works,105.32324279049968,2009-11-10
Metropolitan Police Department,342.8342698711283,2009-03-24
District Department of Transportation,2848.817955053898,2009-08-12
Office of the State Superintendent of Education,16.48401021050717,2009-03-25
Office of Public Educational Facilities Modernization,203.2928791005377,2009-02-02
