AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Department on Disability Services,1174.43,2009-03-19
Department of Health,103.57,2009-12-27
Department of Corrections,340.28,2009-07-14
DC Public Library,2642.17,2009-03-13
Department of Public Works,1237.13,2009-03-12
Office of the State Superintendent of Education,207.92,2009-09-26
Office of Community Affairs,367.02,2009-07-02
Department on Disability Services,937.69,2009-11-13
Office of the Secretary,2172.32,2009-09-23
Department of  Youth Rehabilitation Services,526.93,2009-11-01
Child & Family Services Administration,244.49,2009-11-21
Department of  Youth Rehabilitation Services,327.85,2009-07-04
Department of Health,1860.3,2009-01-28
Office of the Secretary,2502.07,2009-08-13
Department of  Youth Rehabilitation Services,196.74,2009-07-29
Department of Parks & Recreation,231.11,2009-10-10
Department of Corrections,1762.67,2009-04-10
Department of Corrections,1608.84,2009-03-14
Department of Human Services,2119.21,2009-08-21
Department of Health,1124.99,2009-07-24
DC Public Library,29.16,2009-03-19
Department of Health,2082.19,2009-10-19
Office of Unified Communications,137.02,2009-11-21
Department of Public Works,703.96,2009-07-06
Office of the Chief Financial Officer,2222.35,2009-07-24
DC Public Library,120.43,2009-06-22
Department of Public Works,299.0,2009-06-23
Department of Motor Vehicles,2835.61,2009-08-02
Department of Employment Services,2551.95,2009-08-12
Department of Health,283.61,2009-07-25
Department of  Youth Rehabilitation Services,3000.23,2009-08-26
Department of Mental Health,44.12,2009-07-18
Office of the Secretary,346.19,2009-09-20
Office of the State Superintendent of Education,564.99,2009-10-19
Department of Employment Services,552.52,2009-09-26
Department on Disability Services,293.32,2009-07-25
Department of Consumer & Regulatory Affairs,103.74,2009-06-23
Department of Health,179.25,2009-07-28
Department of Employment Services,377.11,2009-11-02
Serve DC,436.91,2009-05-14
Department of  Youth Rehabilitation Services,2128.78,2009-03-15
Department of Human Services,2794.96,2009-12-04
Department of Human Services,1063.61,2009-03-27
Department on Disability Services,1949.16,2009-08-24
Office of the State Superintendent of Education,2988.42,2009-06-02
Department of Public Works,597.15,2009-04-28
Office of the State Superintendent of Education,247.74,2009-11-15
Department of Human Services,998.88,2009-03-28
Department of  Youth Rehabilitation Services,2121.36,2009-09-05
DC Department of Human Resources,220.01,2009-11-05
Department of  Youth Rehabilitation Services,246.81,2009-08-02
Department of Health,587.01,2009-06-17
Department of Public Works,233.76,2009-06-29
Office of Unified Communications,2400.51,2009-07-31
DC Department of Human Resources,398.96,2009-09-14
Department of  Youth Rehabilitation Services,1170.56,2009-07-12
Department of Property Management,2207.52,2009-07-05
Department on Disability Services,91.1,2009-07-14
Department of  Youth Rehabilitation Services,941.75,2009-02-27
Department of  Youth Rehabilitation Services,392.8,2009-04-02
DC Department of Human Resources,1828.69,2009-07-08
Department of Health,864.82,2009-07-26
Department of Health,1789.61,2009-01-05
Office of the State Superintendent of Education,79.07,2009-07-06
Office of Cable TV,364.98,2009-11-13
Department of Employment Services,-60.89,2009-11-24
Office of the State Superintendent of Education,645.48,2009-07-24
Department of  Youth Rehabilitation Services,1325.64,2009-08-02
DC Department of Human Resources,1135.43,2009-02-05
Department of  Youth Rehabilitation Services,-312.5,2009-10-26
Department of Public Works,853.98,2009-06-16
Office of Unified Communications,1853.61,2009-09-22
Office of the Chief Financial Officer,145.96,2009-10-16
Department on Disability Services,840.16,2009-07-21
DC Department of Human Resources,989.54,2009-09-21
DC Public Library,781.13,2009-11-11
Office of the State Superintendent of Education,408.87,2009-11-15
Department of Human Services,429.61,2009-07-23
Department of  Youth Rehabilitation Services,2277.73,2009-11-18
Office of the Chief Financial Officer,132.53,2009-11-05
Office of the Inspector General,690.84,2009-04-29
Department of Public Works,449.34,2009-06-27
Department of Motor Vehicles,2217.7,2009-08-07
Department of  Youth Rehabilitation Services,1414.81,2009-08-16
Office of the Chief Financial Officer,194.16,2009-08-16
Office of the Chief Financial Officer,2005.87,2009-11-04
"Department of Insurance, Securities & Banking",104.85,2009-12-29
Department of Human Services,223.75,2009-07-24
Department of  Youth Rehabilitation Services,167.95,2009-03-22
Office of the State Superintendent of Education,2827.68,2009-11-03
Office of Unified Communications,1884.94,2009-09-14
Department of Property Management,679.3,2009-12-01
Department of Housing & Community Development,1869.41,2009-07-12
Department of  Youth Rehabilitation Services,129.97,2009-08-02
DC Department of Human Resources,2350.92,2009-08-16
Department of Consumer & Regulatory Affairs,167.86,2009-08-03
Fire & Emergency Medical Services,2081.1,2009-07-03
Office of Contracting & Procurement,2332.99,2009-03-30
Office of the State Superintendent of Education,2618.17,2009-02-24
Department on Disability Services,2118.51,2009-09-30
Department of Human Services,235.93,2009-02-11
Office of the State Superintendent of Education,315.31,2009-08-07
Office of the Inspector General,563.93,2009-03-14
Department of  Youth Rehabilitation Services,2327.76,2009-07-01
Department of Health,472.61,2009-02-20
Department of Parks & Recreation,1950.23,2009-11-17
Department of Consumer & Regulatory Affairs,191.88,2009-01-06
Department of Mental Health,2253.62,2009-10-13
Serve DC,608.66,2009-03-15
Office of the State Superintendent of Education,296.62,2009-10-23
University of the District of Columbia,164.05,2009-11-01
Department of Health,627.47,2009-10-19
Department of Parks & Recreation,2113.27,2010-01-01
Office of the State Superintendent of Education,1176.33,2009-09-21
Office of the State Superintendent of Education,363.33,2009-07-07
Department of Health,2658.32,2009-09-22
Department of Human Services,322.9,2009-06-18
Office of the State Superintendent of Education,2054.71,2009-01-08
Office of the State Superintendent of Education,1649.48,2009-03-23
Department on Disability Services,2238.53,2009-01-12
Department on Disability Services,2241.81,2009-01-11
Department of Health,1562.45,2009-07-16
DC Public Library,305.97,2009-06-10
Office of the Chief Financial Officer,381.02,2009-10-03
Department of Corrections,504.97,2009-10-30
DC Public Library,98.07,2009-07-12
Department of Health,886.23,2009-05-19
Office of the Chief Financial Officer,-311.27,2009-10-29
Office of the State Superintendent of Education,4.69,2009-10-23
Office of the State Superintendent of Education,1914.77,2009-11-10
Department of  Youth Rehabilitation Services,125.4,2009-03-28
Office of the State Superintendent of Education,2135.43,2009-12-25
Office of the State Superintendent of Education,214.33,2009-11-15
Department of  Youth Rehabilitation Services,778.29,2009-11-03
Department of  Youth Rehabilitation Services,302.95,2009-07-05
Office of the Chief Financial Officer,1366.14,2009-11-12
Child & Family Services Administration,1329.98,2009-11-16
Serve DC,295.43,2009-05-02
Office of the State Superintendent of Education,283.59,2009-10-10
Office of Unified Communications,1243.26,2009-02-05
DC Public Library,2224.19,2009-09-26
Office of the State Superintendent of Education,2211.33,2009-08-25
Office of Municipal Planning,1950.02,2009-11-04
Office of Unified Communications,2362.13,2009-07-30
Department of Health,385.55,2009-07-28
Department of  Youth Rehabilitation Services,175.66,2009-03-29
Department of Employment Services,90.98,2009-03-21
Department of Mental Health,2458.33,2009-11-20
Office of the State Superintendent of Education,1957.45,2009-07-20
Department of  Youth Rehabilitation Services,1014.34,2009-09-17
Office of Municipal Planning,174.44,2009-06-12
Department of Public Works,736.68,2009-03-11
Office of the State Superintendent of Education,220.13,2009-07-18
Office of the Secretary,419.18,2009-10-29
Department of Employment Services,485.79,2009-11-30
District Department of the Environment,2704.52,2009-08-08
Department of Health,636.23,2009-08-06
Office of the Secretary,708.46,2009-09-23
Department of Public Works,2481.33,2009-12-21
Office of the State Superintendent of Education,1710.65,2009-09-25
Office of the State Superintendent of Education,582.4,2009-10-31
Department of Health,953.43,2009-07-08
Office of Municipal Planning,2096.52,2009-11-02
Department of  Youth Rehabilitation Services,2797.39,2009-08-09
Department of  Youth Rehabilitation Services,505.76,2009-05-30
Office of Contracting & Procurement,2370.66,2009-07-11
Office of Contracting & Procurement,2562.74,2009-06-23
District Department of the Environment,1894.34,2009-01-04
Department of  Youth Rehabilitation Services,1739.51,2009-03-25
Office of the Chief Financial Officer,2020.81,2009-01-08
Department of Employment Services,2501.53,2009-12-08
District Department of the Environment,2004.43,2009-08-22
Office of the State Superintendent of Education,230.27,2009-11-01
Department of  Youth Rehabilitation Services,39.39,2009-06-20
Metropolitan Police Department,2982.05,2009-02-03
Child & Family Services Administration,286.91,2009-06-30
Office of the State Superintendent of Education,814.83,2009-01-08
Criminal Justice Coordinating Council,260.36,2009-10-30
Office of the Inspector General,549.43,2009-02-25
Department of  Youth Rehabilitation Services,707.74,2009-06-14
Department of Corrections,406.59,2009-07-31
DC Department of Human Resources,710.89,2009-06-17
Department of Employment Services,378.8,2009-11-04
Department of  Youth Rehabilitation Services,247.29,2009-08-07
Department of Public Works,2391.46,2009-08-20
Department of  Youth Rehabilitation Services,2716.92,2009-11-12
Department of  Youth Rehabilitation Services,2158.96,2009-04-29
Office of the State Superintendent of Education,135.64,2009-07-23
Department of Employment Services,275.0,2009-03-16
Department of Public Works,1820.09,2009-01-07
Department of Employment Services,309.84,2009-11-27
Office of Unified Communications,2213.01,2009-09-19
Department of Motor Vehicles,2091.54,2009-11-19
Department of Parks & Recreation,1940.6,2009-09-15
Office of the State Superintendent of Education,237.96,2009-08-11
Office of the Secretary,1070.19,2009-09-17
Office of the State Superintendent of Education,620.19,2009-02-14
Office of the State Superintendent of Education,909.65,2009-10-21
Department of Public Works,1426.56,2009-07-14
Department of  Youth Rehabilitation Services,2645.5,2009-08-25
University of the District of Columbia,866.2,2009-11-09
Office of Municipal Planning,58.35,2009-06-15
Office of the State Superintendent of Education,760.68,2009-10-31
Department of Employment Services,351.57,2009-10-22
Office of the Chief Financial Officer,253.6,2009-08-20
Department of Employment Services,876.33,2009-05-29
Fire & Emergency Medical Services,2079.86,2009-08-07
Office of the Chief Financial Officer,220.91,2009-07-13
Office of the State Superintendent of Education,169.78,2009-10-28
Office of the State Superintendent of Education,1608.8,2009-09-03
Department of  Youth Rehabilitation Services,670.23,2009-10-31
Department of  Youth Rehabilitation Services,351.16,2009-06-25
DC Department of Human Resources,1089.9,2009-09-26
Department of Mental Health,628.38,2009-12-01
Department on Disability Services,771.7,2009-12-28
Department of  Youth Rehabilitation Services,272.94,2009-03-30
Department of  Youth Rehabilitation Services,1429.13,2009-08-27
Office of the State Superintendent of Education,1538.34,2009-01-12
Department of  Youth Rehabilitation Services,645.08,2009-10-27
Department of  Youth Rehabilitation Services,1622.0,2009-09-04
Department on Disability Services,1492.01,2009-07-17
Office of the State Superintendent of Education,2157.55,2009-07-09
Office of the State Superintendent of Education,1517.34,2009-04-02
DC Public Library,-38.41,2009-06-07
Office of the State Superintendent of Education,197.88,2009-11-12
Office of the State Superintendent of Education,283.59,2009-07-01
Office of the State Superintendent of Education,965.98,2009-06-20
Department of Health,952.74,2009-10-19
Department of  Youth Rehabilitation Services,-202.85,2009-07-31
Department of Employment Services,343.62,2009-09-23
District Department of the Environment,1652.5,2009-09-04
Department of  Youth Rehabilitation Services,467.89,2009-07-23
Office of the State Superintendent of Education,528.51,2009-11-06
Office of the State Superintendent of Education,942.78,2009-07-14
Department of  Youth Rehabilitation Services,120.02,2009-03-22
Commission on Arts & Humanities,2776.7,2009-06-12
Office of the Secretary,451.47,2009-09-21
Department of Public Works,2061.68,2009-08-29
Department of Employment Services,1992.53,2009-08-30
Department of Public Works,1929.81,2009-01-12
Office of Municipal Planning,809.82,2009-09-19
Office of the State Superintendent of Education,235.01,2009-07-20
Office of the State Superintendent of Education,1274.47,2009-03-20
Department of  Youth Rehabilitation Services,455.67,2009-11-12
University of the District of Columbia,2239.96,2009-10-28
Office of Contracting & Procurement,3019.08,2009-10-19
Department of  Youth Rehabilitation Services,2785.32,2009-07-30
Department of Housing & Community Development,2687.15,2009-06-30
Department on Disability Services,175.95,2009-07-15
Department of Corrections,2114.95,2009-11-02
Department of Corrections,775.16,2009-10-31
Department on Disability Services,2385.93,2009-08-18
District Department of the Environment,975.96,2009-09-09
Department of  Youth Rehabilitation Services,58.83,2009-06-30
Serve DC,406.72,2009-09-24
Department of  Youth Rehabilitation Services,210.8,2009-03-29
DC Public Library,200.87,2009-03-22
Department on Disability Services,332.09,2009-08-01
Department of Public Works,1554.64,2009-09-25
Serve DC,105.6,2009-11-03
Office of the State Superintendent of Education,2048.09,2009-08-16
Department of  Youth Rehabilitation Services,502.6,2009-11-01
Department of Consumer & Regulatory Affairs,-68.46,2009-11-17
Department of Public Works,1911.79,2009-11-18
Department on Disability Services,197.89,2009-01-07
DC Public Library,1642.13,2009-04-02
Department of  Youth Rehabilitation Services,175.11,2009-08-02
Commission of Judicial Disabilities & Tenure,2200.5,2009-03-24
Office of the State Superintendent of Education,256.54,2009-02-12
Contract Appeals Board,2216.91,2009-07-03
Office of the Chief Financial Officer,578.23,2009-11-18
DC Public Library,254.44,2009-03-04
Office of Unified Communications,455.69,2009-10-01
DC Public Library,1867.25,2009-10-24
Child & Family Services Administration,352.88,2009-06-18
DC Public Library,-248.82,2009-10-30
Serve DC,1775.77,2009-11-11
District Department of the Environment,417.31,2009-11-18
Office of the State Superintendent of Education,188.51,2009-06-18
Office of the Mayor,1977.57,2009-11-20
Office of the State Superintendent of Education,436.14,2009-11-05
Department of  Youth Rehabilitation Services,522.5,2009-10-23
Department of Public Works,2181.33,2009-08-20
Department of Public Works,501.96,2009-02-28
Office of the State Superintendent of Education,155.14,2009-11-19
Department of Employment Services,136.38,2009-10-18
Department of  Youth Rehabilitation Services,2216.0,2009-07-24
DC Department of Human Resources,671.47,2009-09-20
Department of Health,2195.95,2009-07-07
Department of Public Works,970.23,2009-08-30
Department of  Youth Rehabilitation Services,324.19,2009-11-17
Department of  Youth Rehabilitation Services,2847.97,2009-11-14
Department on Disability Services,2080.46,2009-08-26
Department of Small & Local Business Development,424.85,2009-11-05
Department of Health,83.96,2009-06-20
District Department of the Environment,899.52,2009-08-24
Office of Municipal Planning,619.38,2009-09-23
DC Public Library,2078.47,2009-11-26
Office of the Secretary,2008.08,2009-09-15
Office of Police Complaints,2446.12,2009-04-16
Department of Employment Services,221.63,2009-03-15
Office of the State Superintendent of Education,136.78,2009-11-06
Department of Mental Health,266.46,2009-02-19
Department of Public Works,816.51,2009-10-25
Department of Corrections,1997.06,2009-07-24
Department of Parks & Recreation,2087.83,2009-10-20
Fire & Emergency Medical Services,2571.63,2009-02-26
Office of Cable TV,1007.91,2009-11-16
Department of Public Works,215.05,2009-11-30
Department on Disability Services,2508.38,2009-01-11
DC Public Library,736.76,2009-08-29
Office of the State Superintendent of Education,1639.18,2009-01-03
Office of the Chief Financial Officer,500.3,2009-10-25
Department of Public Works,1393.55,2009-06-18
Department on Disability Services,404.26,2009-07-04
Office of Unified Communications,918.56,2009-09-20
Department of Employment Services,631.91,2009-10-28
Department of Employment Services,396.59,2009-07-18
Department of Employment Services,2161.55,2009-08-30
Department of Corrections,440.85,2009-06-22
Office of the State Superintendent of Education,390.57,2009-10-23
Department of  Youth Rehabilitation Services,883.98,2009-06-26
District Department of Transportation,2520.19,2009-12-21
Department of Health,2462.42,2009-07-03
Office of Cable TV,146.72,2009-10-17
Department of Public Works,1872.55,2009-04-02
Department of Public Works,2608.39,2009-08-04
Department of  Youth Rehabilitation Services,2507.34,2009-08-16
Office of the State Superintendent of Education,115.24,2009-12-20
Office of Community Affairs,414.9,2009-10-27
Office of the State Superintendent of Education,75.26,2009-10-07
Department of Health,2268.42,2009-10-30
Child & Family Services Administration,188.75,2009-10-20
Department of Mental Health,136.83,2009-03-17
Office of the State Superintendent of Education,2036.56,2009-10-28
Office of the State Superintendent of Education,2021.23,2009-01-09
Office of the State Superintendent of Education,559.49,2009-08-25
Department of Health,1480.98,2009-05-15
Department of  Youth Rehabilitation Services,1281.81,2009-04-25
Child & Family Services Administration,2510.79,2009-12-16
District Department of the Environment,826.57,2009-03-21
Department of Human Services,696.2,2009-10-28
Department of Employment Services,178.67,2009-03-08
Department of Employment Services,333.43,2009-11-29
Office of the State Superintendent of Education,1346.2,2009-09-23
Office of the State Superintendent of Education,231.53,2009-07-16
Office of the State Superintendent of Education,251.81,2009-04-21
Department of  Youth Rehabilitation Services,147.85,2009-11-19
Office of the State Superintendent of Education,162.05,2009-07-19
Office of the State Superintendent of Education,184.43,2009-07-27
Department on Disability Services,1094.58,2009-09-25
Office of the Chief Financial Officer,177.25,2009-10-21
Department of  Youth Rehabilitation Services,279.8,2009-04-13
Office of the State Superintendent of Education,2155.17,2009-09-24
Office of the State Superintendent of Education,19.44,2009-07-05
Department of  Youth Rehabilitation Services,2914.34,2009-09-09
Department of  Youth Rehabilitation Services,2649.05,2009-12-20
Department of Health,431.77,2009-07-08
Office of Municipal Planning,2147.95,2009-06-11
Department of Employment Services,1107.33,2009-10-30
Office of the State Superintendent of Education,1095.68,2009-02-05
Department of Public Works,2476.95,2009-09-28
Department of  Youth Rehabilitation Services,562.94,2009-10-29
Child & Family Services Administration,433.81,2009-10-20
Department on Disability Services,2265.19,2009-08-15
Department of  Youth Rehabilitation Services,2629.78,2009-12-24
Department of Human Services,1483.47,2009-09-25
Office of the State Superintendent of Education,2247.39,2009-10-28
Department of Human Services,344.89,2009-07-20
Office of the State Superintendent of Education,1672.49,2009-10-10
Serve DC,393.13,2009-03-21
Office of the Attorney General,665.44,2009-09-27
Department of Human Services,2035.26,2009-10-29
Department of  Youth Rehabilitation Services,2272.44,2009-04-05
Department of Employment Services,1077.08,2009-09-27
Office of the State Superintendent of Education,479.73,2009-03-17
Office of the State Superintendent of Education,460.64,2009-11-16
Department of Property Management,-480.27,2009-11-13
Department on Disability Services,1611.27,2009-08-04
Department of Health,1891.54,2009-01-08
Department of  Youth Rehabilitation Services,333.27,2009-07-22
Department of Mental Health,363.15,2009-08-13
Department of Human Services,-193.15,2009-11-12
Department on Disability Services,158.68,2009-10-12
DC Department of Human Resources,2232.66,2009-07-27
Department of Employment Services,138.33,2009-06-17
Office of the State Superintendent of Education,1865.14,2009-07-23
Department of Public Works,107.44,2009-07-18
Department of  Youth Rehabilitation Services,990.97,2009-04-22
Department of  Youth Rehabilitation Services,-49.97,2009-10-20
Office of the State Superintendent of Education,232.81,2009-07-19
Department of  Youth Rehabilitation Services,228.0,2009-11-26
Department of Health,2683.2,2009-06-22
DC Public Library,232.46,2009-03-25
Office of the State Superintendent of Education,815.33,2009-11-05
Department of Public Works,398.12,2009-07-04
Department of Public Works,1609.46,2009-09-18
Department of Public Works,2592.27,2009-12-22
Department of Mental Health,2043.25,2009-03-19
Office of the State Superintendent of Education,222.93,2009-11-20
District Department of the Environment,1617.93,2009-09-16
District Department of the Environment,1365.01,2009-04-11
Department of  Youth Rehabilitation Services,430.32,2009-10-20
Department of Health,2339.23,2009-07-28
Office of the Inspector General,872.91,2009-05-26
DC Public Library,-86.8,2009-08-30
DC Public Library,993.01,2009-06-05
Office of the State Superintendent of Education,1890.71,2009-08-29
Office of the State Superintendent of Education,1794.25,2009-08-28
Office of the State Superintendent of Education,238.62,2009-01-07
DC Public Library,910.34,2009-03-15
Department of Employment Services,2118.23,2009-11-14
Department of  Youth Rehabilitation Services,901.97,2009-04-23
DC Department of Human Resources,121.52,2009-10-25
Department of  Youth Rehabilitation Services,152.34,2009-07-26
Department of  Youth Rehabilitation Services,1506.22,2009-08-10
DC Public Library,148.63,2009-11-16
Office of the State Superintendent of Education,151.94,2009-08-02
Department of  Youth Rehabilitation Services,160.03,2009-07-16
Department of Consumer & Regulatory Affairs,170.49,2009-07-25
Office of the State Superintendent of Education,220.43,2009-08-04
Department on Disability Services,244.65,2009-12-23
Office of Unified Communications,2387.43,2009-08-06
Department of  Youth Rehabilitation Services,1021.32,2009-01-06
Department of  Youth Rehabilitation Services,1738.89,2009-08-21
Department of  Youth Rehabilitation Services,645.78,2009-04-07
Office of the Inspector General,795.3,2009-03-17
Child & Family Services Administration,2753.63,2009-10-25
Department of Corrections,2092.98,2009-10-17
Office of Municipal Planning,-620.34,2009-10-25
Department of Public Works,332.17,2009-07-06
Child & Family Services Administration,192.74,2009-11-13
Department of  Youth Rehabilitation Services,65.62,2009-07-20
Department of Human Services,2264.02,2009-03-23
Office of the State Superintendent of Education,204.41,2009-09-26
Office of the State Superintendent of Education,246.18,2009-10-12
Department of  Youth Rehabilitation Services,535.53,2009-10-31
Office of the Chief Financial Officer,263.23,2009-10-19
Department of  Youth Rehabilitation Services,1347.24,2009-04-04
Department of Health,1645.87,2009-03-19
Office of the State Superintendent of Education,2404.75,2009-09-21
Department of Human Services,1049.08,2009-09-07
DC Public Library,213.79,2009-03-29
DC Public Library,111.98,2009-11-01
Department on Disability Services,2108.94,2009-08-31
Department of Employment Services,1977.41,2009-01-06
Office of Municipal Planning,2120.76,2009-08-14
Office of the State Superintendent of Education,96.02,2009-11-16
Office of Municipal Planning,287.46,2009-10-23
Department of Health,385.13,2009-07-19
Office of the State Superintendent of Education,172.53,2009-04-19
Department of Consumer & Regulatory Affairs,508.58,2009-11-15
Department of Human Services,743.52,2009-11-21
Department of Corrections,2477.82,2009-09-18
DC Public Library,441.58,2009-10-30
Department of Employment Services,587.45,2009-05-20
Department on Disability Services,2419.31,2009-12-04
Office of the Inspector General,606.92,2009-03-27
Department of Human Services,-435.0,2009-10-31
Office of the State Superintendent of Education,-370.26,2009-11-19
Department of  Youth Rehabilitation Services,1139.34,2009-04-07
Office of Unified Communications,2298.86,2009-08-13
Department of Employment Services,233.1,2009-07-28
DC Public Library,2046.34,2009-08-20
Department of Consumer & Regulatory Affairs,1788.09,2009-09-11
Office of the Chief Financial Officer,446.09,2009-10-27
Department of Corrections,196.41,2009-10-17
Office of Municipal Planning,243.73,2009-11-12
Department of  Youth Rehabilitation Services,468.55,2009-10-30
Department on Disability Services,2224.25,2009-12-21
Office of the State Superintendent of Education,470.87,2009-03-02
Department of  Youth Rehabilitation Services,3.22,2009-06-04
Office of the State Superintendent of Education,300.1,2009-10-23
Office of the Attorney General,1775.78,2009-09-26
Department of  Youth Rehabilitation Services,1977.41,2009-04-10
Office of the Chief Financial Officer,291.24,2009-10-23
Office of the State Superintendent of Education,1613.98,2009-09-28
DC Public Library,74.31,2009-07-12
Office of the State Superintendent of Education,81.16,2009-07-28
Office of the State Superintendent of Education,129.79,2009-10-22
District Department of the Environment,836.09,2009-09-14
Office of the Inspector General,289.18,2009-02-25
Board of Elections & Ethics,2650.85,2009-09-15
DC Department of Human Resources,1320.34,2009-10-28
Department on Disability Services,1451.01,2009-07-25
Department on Disability Services,126.01,2009-07-19
Department on Disability Services,2620.61,2009-01-13
Department of Health Care Finance,37.75,2009-06-26
Office of the Attorney General,2535.41,2009-09-27
Office of the State Superintendent of Education,2404.3,2009-11-23
Office on Aging,2477.41,2009-11-08
Department of  Youth Rehabilitation Services,376.23,2009-08-13
Office of Municipal Planning,83.49,2009-03-26
Department of Health,156.09,2009-07-02
Department of  Youth Rehabilitation Services,1367.47,2009-09-28
Department of  Youth Rehabilitation Services,1267.3,2009-05-02
Department of  Youth Rehabilitation Services,2224.99,2009-07-20
Department on Disability Services,2079.49,2009-08-23
Department of Human Services,330.14,2009-07-17
Office of the State Superintendent of Education,1521.69,2009-09-27
DC Department of Human Resources,77.86,2009-10-30
Department of Employment Services,1914.65,2009-02-16
Office of the State Superintendent of Education,2408.27,2009-07-28
Department of Human Services,2566.31,2009-09-03
DC Public Library,1951.12,2009-08-20
Department of Parks & Recreation,592.03,2009-09-09
Department of Public Works,631.58,2009-07-27
DC Department of Human Resources,-16.36,2009-07-12
Department of Public Works,1538.44,2009-03-17
Office of the State Superintendent of Education,2773.02,2009-01-15
Office of Municipal Planning,2032.98,2009-11-18
Department of Human Services,-407.52,2009-10-23
Department of Employment Services,2012.4,2009-12-03
