AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Office of the State Superintendent of Education,698.9868873400492,2009-01-02
District Department of Transportation,2221.785832426535,2009-01-02
Office of the State Superintendent of Education,1087.2167546930236,2009-01-03
District Department of Transportation,-240.91185973992836,2009-01-03
Department of Property Management,707.0331983640997,2009-01-03
Department of Health,1090.8621410983956,2009-01-03
Metropolitan Police Department,1307.025778395223,2009-01-03
Office of the Tenant Advocate,1393.3708760652198,2009-01-03
Department of  Youth Rehabilitation Services,413.9642439011154,2009-01-03
Office of the Chief Technology Officer,484.9076887217451,2009-01-03
Office of the Chief Technology Officer,-45.75487704104091,2009-01-03
Department of Corrections,390.261549083338,2009-01-03
Office of the Chief Financial Officer,654.0563278615116,2009-01-03
Office of the Tenant Advocate,1100.1217768271122,2009-01-03
Department of  Youth Rehabilitation Services,1478.4002192084884,2009-01-03
Department of Corrections,-820.0548425514652,2009-01-03
Fire & Emergency Medical Services,269.2125994187059,2009-01-03
Commission on Arts & Humanities,29.25090247777177,2009-01-03
Department on Disability Services,1412.661544128167,2009-01-03
Serve DC,10.233397428408692,2009-01-03
Department on Disability Services,-72.50360692083439,2009-01-03
Department of Property Management,441.4604629455056,2009-01-03
Fire & Emergency Medical Services,214.4806325833183,2009-01-03
Fire & Emergency Medical Services,-651.2081058186387,2009-01-03
District Department of Transportation,977.1571409534608,2009-01-03
Department of Motor Vehicles,1163.6607654860186,2009-01-03
District Department of Transportation,-126.54199303227948,2009-01-03
Metropolitan Police Department,1154.3508673590884,2009-01-03
Office of the Chief Financial Officer,-297.1742055795563,2009-01-03
Department of Health,-723.8708804311706,2009-01-03
Department of Health,269.18716543406777,2009-01-03
Department of Health,-98.77196755505088,2009-01-02
District Department of the Environment,-311.1428123569665,2009-01-03
Department on Disability Services,-135.4929389117268,2009-01-02
Department of Public Works,227.55059713564071,2009-01-02
Fire & Emergency Medical Services,1113.5286155152523,2009-01-02
Fire & Emergency Medical Services,-1470.2028996553368,2009-01-02
Criminal Justice Coordinating Council,231.7772056006757,2009-01-02
Office of the Attorney General,1033.7500276648746,2009-01-02
Office of the Chief Financial Officer,-47.344602009436926,2009-01-02
District Department of Transportation,2624.962732769533,2009-01-02
Department on Disability Services,553.3691248450506,2009-01-02
Department of  Youth Rehabilitation Services,1081.768886019187,2009-01-02
Office of the Inspector General,1266.656846956158,2009-01-02
District Department of the Environment,780.8510619307569,2009-01-02
Office of the Tenant Advocate,1049.7578445320542,2009-01-02
University of the District of Columbia,293.4280236857293,2009-01-02
Metropolitan Police Department,224.13219895031332,2009-01-02
Office of Unified Communications,770.5648823220608,2009-01-02
Office of Unified Communications,-221.65984729649077,2009-01-02
Fire & Emergency Medical Services,85.5213730624925,2009-01-02
District Department of the Environment,-289.2431927626527,2009-01-02
DC Public Library,1560.95933705803,2009-01-02
Department of Property Management,-1297.7342423958223,2009-01-02
Contract Appeals Board,33.05050764714031,2009-01-02
Department of Corrections,473.7568987200851,2009-01-03
DC Department of Human Resources,756.6395234113867,2009-01-03
Department of Health,619.9811847907148,2009-01-02
Medical Liability Captive Insurance Agency,-134.66956412332138,2009-01-03
Department of Public Works,2010.5322662355104,2009-01-03
Office of Unified Communications,1022.1214484026864,2009-01-03
Department of Health,484.1616882526778,2009-01-03
Fire & Emergency Medical Services,-564.6288035400988,2009-01-02
Department of Health,361.50267652479016,2009-01-02
Alcoholic Beverage Regulation Administration,199.0440458532652,2009-01-03
Office of the State Superintendent of Education,954.0411057188478,2009-01-03
Department of Human Services,633.7749139996419,2009-01-03
District Department of Transportation,2146.4668212754823,2009-01-03
Department of  Youth Rehabilitation Services,1056.8101737368152,2009-01-03
Metropolitan Police Department,777.7563162463758,2009-01-03
Department on Disability Services,803.6190704291454,2009-01-03
Office of the Attorney General,1442.3091931499043,2009-01-03
Metropolitan Police Department,889.7428823399391,2009-01-03
Child & Family Services Administration,1755.9332354389269,2009-01-03
District Department of Transportation,353.1491769630636,2009-01-03
Fire & Emergency Medical Services,1519.8737627303803,2009-01-03
District Department of the Environment,60.14673438847825,2009-01-03
Department of Parks & Recreation,383.6216390044806,2009-01-03
DC Public Library,-733.5182330328536,2009-01-03
DC Public Library,565.9163057337755,2009-01-03
Fire & Emergency Medical Services,-160.7597859365602,2009-01-03
DC National Guard,1351.1376941092833,2009-01-03
DC Public Library,-351.69841107614366,2009-01-03
Office of Justice Grants Administration,1648.0375289638175,2009-01-03
District Department of Transportation,163.59648951317575,2009-01-03
Office of Cable TV,1027.575978358214,2009-01-03
Alcoholic Beverage Regulation Administration,929.248521764708,2009-01-03
Department of Corrections,-860.9536991347471,2009-01-03
Department of Public Works,1739.3897405024331,2009-01-03
Department of Employment Services,824.5925952435239,2009-01-03
Department of Public Works,-111.6838023635962,2009-01-03
Fire & Emergency Medical Services,710.3940042181408,2009-01-04
Fire & Emergency Medical Services,577.8956265514189,2009-01-04
Department on Disability Services,259.00738970753355,2009-01-04
Fire & Emergency Medical Services,363.9191069224372,2009-01-04
Department of Motor Vehicles,-514.9584519689832,2009-01-04
Department of Parks & Recreation,1018.0429777588922,2009-01-04
Office of the Tenant Advocate,1236.0610755070757,2009-01-04
Office of Contracting & Procurement,-851.4833751404266,2009-01-04
Office of the State Superintendent of Education,-859.474188099783,2009-01-04
Metropolitan Police Department,1148.9907055608492,2009-01-04
Fire & Emergency Medical Services,617.0135459492055,2009-01-04
Office of the Chief Financial Officer,450.7791923171017,2009-01-04
Department of Mental Health,1823.45450987115,2009-01-04
Metropolitan Police Department,1139.8009123613772,2009-01-04
Office of the Chief Financial Officer,1792.349453158242,2009-01-03
Department of Health,603.1686586015345,2009-01-03
Department of Motor Vehicles,545.1001000810745,2009-01-03
Metropolitan Police Department,-236.19294723295357,2009-01-03
Department of Human Services,857.7571234446787,2009-01-04
Office of the State Superintendent of Education,-15.592038437614974,2009-01-03
Department of Human Services,689.2659326221067,2009-01-03
Child & Family Services Administration,1533.098627314145,2009-01-04
Department of Housing & Community Development,774.4691755889132,2009-01-04
Department of Property Management,630.4057310792318,2009-01-04
Department of Health,512.4748668170269,2009-01-04
University of the District of Columbia,706.9245488225799,2009-01-04
Department of Consumer & Regulatory Affairs,-602.6846049119816,2009-01-04
Department of Health,-203.90879319649173,2009-01-04
Office of Contracting & Procurement,1615.5243176728468,2009-01-04
Department of Health,1016.4324110530844,2009-01-04
Office of the Attorney General,591.3900364924706,2009-01-04
DC Public Library,1002.72223172673,2009-01-03
Department of Mental Health,82.82749018956633,2009-01-04
Department of  Youth Rehabilitation Services,628.8365261386205,2009-01-04
Department of Human Services,186.88185755622797,2009-01-04
Department on Disability Services,-49.061395972513424,2009-01-04
District Department of Transportation,2069.351686352124,2009-01-04
Department of  Youth Rehabilitation Services,1224.1474741313234,2009-01-04
Fire & Emergency Medical Services,-400.4790778274756,2009-01-04
District Department of Transportation,216.8566663446502,2009-01-04
Department of Public Works,1105.5461796222648,2009-01-04
Commission on Arts & Humanities,2841.501218554242,2009-01-04
Office of Municipal Planning,644.5922425107444,2009-01-04
Department of Mental Health,1168.6366419806473,2009-01-04
DC Public Library,1213.810931195903,2009-01-04
District Department of Transportation,1254.7696383858934,2009-01-04
Department of Housing & Community Development,-473.2494422321673,2009-01-04
Deputy Mayor for Economic Development,-413.41619522789335,2009-01-04
Office of the Attorney General,808.854938766742,2009-01-04
Office of the Chief Financial Officer,915.2953065851444,2009-01-04
"Department of Insurance, Securities & Banking",849.878315899815,2009-01-04
Department of Parks & Recreation,511.40512553456665,2009-01-04
Office of the Tenant Advocate,914.0889585637644,2009-01-03
Department of Public Works,951.9646277765878,2009-01-04
DC Department of Human Resources,654.853732482567,2009-01-04
Office of the Inspector General,-185.4180340432661,2009-01-04
Fire & Emergency Medical Services,546.9266577418059,2009-01-03
DC Public Library,756.7044456757458,2009-01-03
Department of Public Works,963.977896056428,2009-01-03
District Department of Transportation,-127.5688901620456,2009-01-03
Department of Human Services,553.3691248450506,2009-01-03
Office of the Secretary,1065.9865939086503,2009-01-03
DC Public Library,1004.5510058721716,2009-01-03
Department of Health,733.0183409818767,2009-01-03
Fire & Emergency Medical Services,2721.820392697208,2009-01-03
Fire & Emergency Medical Services,682.2751698087317,2009-01-03
Department of Mental Health,1836.7791927517687,2009-01-03
Department of Property Management,498.4600221657581,2009-01-03
Department of Public Works,73.61624968161959,2009-01-03
Office of the Attorney General,138.22843642446963,2009-01-03
Office of the Chief Financial Officer,553.3691248450506,2009-01-03
Department of Health,416.5973930428669,2009-01-03
Department of  Youth Rehabilitation Services,394.2556687245078,2009-01-03
Department of  Youth Rehabilitation Services,1287.0150863385904,2009-01-03
Office of Finance & Resource Management,2074.302633504667,2009-01-03
Department of Public Works,1431.1220751925073,2009-01-03
District Department of the Environment,-322.9228853133684,2009-01-03
Metropolitan Police Department,1524.2497201587817,2009-01-03
Fire & Emergency Medical Services,741.1140565118019,2009-01-03
Office of Public Educational Facilities Modernization,1516.3814344111347,2009-01-03
Office of the Chief Financial Officer,1433.3558249862056,2009-01-03
Office of the Tenant Advocate,553.3691248450506,2009-01-03
Department of Property Management,2277.010078071735,2009-01-03
Fire & Emergency Medical Services,-486.1516383679626,2009-01-03
Fire & Emergency Medical Services,1190.404095690502,2009-01-03
Department of Health,-966.9860634495786,2009-01-03
Department of Consumer & Regulatory Affairs,553.3691248450506,2009-01-03
District Department of the Environment,-401.3324283834904,2009-01-03
Fire & Emergency Medical Services,-1582.3879668968648,2009-01-03
District Department of the Environment,-634.141498412385,2009-01-03
Metropolitan Police Department,1346.052360645051,2009-01-03
Department on Disability Services,-119.45100820800872,2009-01-03
Fire & Emergency Medical Services,664.0863887588289,2009-01-03
Fire & Emergency Medical Services,629.2247161139798,2009-01-03
Fire & Emergency Medical Services,-65.24089223600072,2009-01-03
District Department of Transportation,56.64905685817757,2009-01-03
Fire & Emergency Medical Services,200.70944197238535,2009-01-03
DC Taxicab Commission,913.125040824531,2009-01-03
Office of the Chief Financial Officer,1562.4458121602163,2009-01-03
Office of Cable TV,2128.267896910277,2009-01-03
Department of Mental Health,85.15126821460296,2009-01-03
DC Public Library,2697.566666060461,2009-01-03
Fire & Emergency Medical Services,417.35320880957727,2009-01-04
Office of Finance & Resource Management,823.8987369661777,2009-01-04
Department of Health,-811.6346797085738,2009-01-04
District Department of Transportation,34.05893485949059,2009-01-04
"Department of Insurance, Securities & Banking",609.5305421742096,2009-01-04
Homeland Security/Emergency Management,419.7977730295176,2009-01-04
District Department of the Environment,782.3873957171149,2009-01-04
Department of Health,480.37131804201726,2009-01-04
Department of Health,1247.5596588477797,2009-01-04
Department on Disability Services,-309.0539959043016,2009-01-04
City Administrator/Deputy Mayor,553.3691248450506,2009-01-04
Department on Disability Services,19.644981029636256,2009-01-04
Fire & Emergency Medical Services,-573.0832820765496,2009-01-04
Office of the Attorney General,3115.3600332895694,2009-01-04
DC Department of Human Resources,364.58966332992895,2009-01-04
Department of  Youth Rehabilitation Services,1074.3308080474137,2009-01-04
Department of Health,553.3691248450506,2009-01-04
Office of the Secretary,1037.435987331455,2009-01-04
Fire & Emergency Medical Services,644.7418753355465,2009-01-04
Department of Public Works,947.8012005591064,2009-01-04
Office of Contracting & Procurement,980.641344527614,2009-01-04
District Department of the Environment,1282.9633617500706,2009-01-04
Department of Parks & Recreation,507.4985487601649,2009-01-04
Department of Consumer & Regulatory Affairs,961.50799878036,2009-01-04
Department of Health,890.3397483187247,2009-01-04
Office of the State Superintendent of Education,855.494911811028,2009-01-04
Department on Disability Services,1499.406369163876,2009-01-04
Department of  Youth Rehabilitation Services,-412.2634907098277,2009-01-04
Metropolitan Police Department,-805.404160900306,2009-01-04
Office of the Chief Financial Officer,132.52372992361722,2009-01-04
Department of Human Services,446.5553089218495,2009-01-04
Department of Property Management,529.2882319744504,2009-01-04
Office of the State Superintendent of Education,-312.1598689569619,2009-01-04
Department of Health,-732.6327872105097,2009-01-04
District Department of the Environment,1027.0944484347667,2009-01-04
DC Department of Human Resources,138.19306098155027,2009-01-04
Department of Corrections,993.7542289290132,2009-01-04
Office of the Chief Financial Officer,1889.3296402976257,2009-01-04
Department of Motor Vehicles,861.8988510324091,2009-01-04
District Department of the Environment,428.3888078406328,2009-01-04
Department of Motor Vehicles,-210.1664617740757,2009-01-04
Office of the Chief Financial Officer,576.354344114032,2009-01-04
Department of Employment Services,-1132.498626839064,2009-01-04
Department of Parks & Recreation,547.7345060981829,2009-01-04
Department of Corrections,2622.937097564421,2009-01-04
Fire & Emergency Medical Services,1647.1582397806123,2009-01-04
Department of Property Management,1250.9182568906544,2009-01-04
Fire & Emergency Medical Services,342.7052460925046,2009-01-04
Fire & Emergency Medical Services,1487.6769623197297,2009-01-04
Office of the Attorney General,818.6776798874923,2009-01-04
Department of Health,-1073.8872203825267,2009-01-04
Office of the Tenant Advocate,364.22907099415113,2009-01-04
Department of Housing & Community Development,587.2917270883373,2009-01-04
Office of Latino Affairs,205.0508061538235,2009-01-04
Department of Health,911.2606641470212,2009-01-04
Office of the Attorney General,8.980622292213184,2009-01-04
Fire & Emergency Medical Services,-991.4531529574564,2009-01-04
DC Public Library,-1059.6543827647092,2009-01-04
Department of Health,-35.25911938035608,2009-01-04
Office of Disability Rights,-212.1178135954821,2009-01-04
Department of Human Services,1239.9534339775653,2009-01-04
Office of the Tenant Advocate,-871.5279791765767,2009-01-05
Department of Corrections,1207.759207243931,2009-01-05
DC Public Library,185.74860700855515,2009-01-05
Office of the Attorney General,1108.517363577704,2009-01-05
Office of Finance & Resource Management,818.4897510009991,2009-01-05
Department on Disability Services,-748.4556525822549,2009-01-05
Department of Human Services,-905.8993852737912,2009-01-05
DC Public Library,932.301937224052,2009-01-04
Department of Property Management,-34.632050544812614,2009-01-05
Department on Disability Services,1185.5361117735645,2009-01-05
University of the District of Columbia,1082.0468936012735,2009-01-05
Department of Health,322.6460705026555,2009-01-05
DC Public Library,219.6578109920772,2009-01-05
Office of the Inspector General,995.1305405620228,2009-01-05
Department of Housing & Community Development,488.555390174826,2009-01-05
Serve DC,-363.5868812527892,2009-01-05
Office of the Tenant Advocate,477.4662674930625,2009-01-05
Department of Health,1375.665290259187,2009-01-05
District Department of Transportation,-2114.6415318504914,2009-01-05
Department of Health,1391.096553010313,2009-01-05
Office of Human Rights,-547.4268510013061,2009-01-05
Fire & Emergency Medical Services,1127.318881614664,2009-01-05
Office of the Attorney General,-182.99428632861,2009-01-05
Department of Public Works,-290.8754590982114,2009-01-05
Department on Disability Services,-622.8952363478533,2009-01-05
Fire & Emergency Medical Services,-349.4231796646426,2009-01-05
Department of Parks & Recreation,1486.4542134153985,2009-01-05
Fire & Emergency Medical Services,510.4540131000989,2009-01-06
District Department of the Environment,1121.710839394713,2009-01-06
Fire & Emergency Medical Services,2160.570874113941,2009-01-06
Department on Disability Services,-72.1078662312857,2009-01-06
Fire & Emergency Medical Services,793.657628302883,2009-01-05
Department of  Youth Rehabilitation Services,223.8174281582884,2009-01-05
Fire & Emergency Medical Services,791.8592336390925,2009-01-05
Department of Health,642.8900201013669,2009-01-05
Office of Community Affairs,-1282.143411669645,2009-01-05
Office of Latino Affairs,252.7507051829266,2009-01-05
Office of the Chief Technology Officer,704.0772672298049,2009-01-05
Office of the State Superintendent of Education,-204.07421502515035,2009-01-05
Office of the Chief Financial Officer,1406.1314695008273,2009-01-05
District Department of Transportation,175.43618598713715,2009-01-05
Department of Parks & Recreation,1961.3323424516907,2009-01-05
Office of Contracting & Procurement,1188.488977204354,2009-01-06
Office of the Tenant Advocate,532.2995965161124,2009-01-06
Fire & Emergency Medical Services,343.65029020028044,2009-01-06
Department of Health,-103.86249883757228,2009-01-06
Office of Unified Communications,1047.2358933767118,2009-01-06
City Administrator/Deputy Mayor,104.15272563080146,2009-01-05
Fire & Emergency Medical Services,1499.851463895044,2009-01-06
Department on Disability Services,-420.2462293883467,2009-01-06
Department of  Youth Rehabilitation Services,1168.8235111177803,2009-01-05
Office of the State Superintendent of Education,856.0205222614226,2009-01-05
Department of Corrections,387.7981743122591,2009-01-06
Department of Health,887.3562763171356,2009-01-06
Office of the Tenant Advocate,496.61347198641,2009-01-05
Department of  Youth Rehabilitation Services,427.4241079054431,2009-01-05
Office of the Chief Financial Officer,877.9633140260894,2009-01-06
Office of the State Superintendent of Education,1598.4680049746607,2009-01-06
Department of Property Management,630.052128042804,2009-01-06
Department of Corrections,234.74127409612717,2009-01-06
Office of the Chief Financial Officer,338.1475794970678,2009-01-06
Commission on Arts & Humanities,549.2406772414865,2009-01-06
District Department of Transportation,686.7596884662062,2009-01-06
District Department of Transportation,1756.249646319247,2009-01-06
Department of Corrections,984.142100377484,2009-01-06
Metropolitan Police Department,1202.532018758235,2009-01-06
Office of the Tenant Advocate,606.8129726414828,2009-01-06
Office of Unified Communications,-86.0359502117426,2009-01-06
Fire & Emergency Medical Services,1114.6683507197226,2009-01-06
Department of Health,-81.96792566878196,2009-01-06
Department of Public Works,170.1461947358016,2009-01-06
Office of Municipal Planning,170.16908027555047,2009-01-06
District Department of the Environment,1627.598698165776,2009-01-06
Department of  Youth Rehabilitation Services,-155.6853022872035,2009-01-06
Department of  Youth Rehabilitation Services,2293.7595680980958,2009-01-06
Metropolitan Police Department,784.2903775498789,2009-01-06
Department of Corrections,1677.44305048894,2009-01-06
Fire & Emergency Medical Services,-374.334253690073,2009-01-06
Department of Property Management,158.60703813388903,2009-01-06
Fire & Emergency Medical Services,143.13563106772415,2009-01-06
Fire & Emergency Medical Services,1170.1760540865744,2009-01-06
Department of Health,767.5461358060628,2009-01-06
Office of the Chief Financial Officer,-310.5578307102886,2009-01-06
Department of Employment Services,1049.9354787104794,2009-01-06
Department of  Youth Rehabilitation Services,293.3201815722932,2009-01-06
Commission on Arts & Humanities,308.87016148385817,2009-01-06
Fire & Emergency Medical Services,258.82720708421886,2009-01-06
Office of Employee Appeals,1373.7675819410952,2009-01-06
Metropolitan Police Department,565.8021492804033,2009-01-06
Department of Public Works,529.626888129281,2009-01-06
Office of the Chief Financial Officer,1848.696528482408,2009-01-06
Department of Health,974.2764646397844,2009-01-06
Office of Unified Communications,1534.730035757365,2009-01-06
Fire & Emergency Medical Services,-49.188666824214806,2009-01-06
Fire & Emergency Medical Services,1492.4484585806586,2009-01-06
Department of Human Services,1098.5321023229712,2009-01-06
Fire & Emergency Medical Services,707.4127400277182,2009-01-06
Fire & Emergency Medical Services,1297.1312014071464,2009-01-06
Department of Corrections,1286.4036109579145,2009-01-06
District Department of Transportation,1058.9807927472152,2009-01-06
Fire & Emergency Medical Services,1940.6369513800369,2009-01-06
University of the District of Columbia,-813.3692370894929,2009-01-06
District Department of the Environment,1032.9315983734818,2009-01-06
Department on Disability Services,408.26299420174655,2009-01-06
Metropolitan Police Department,1846.7409376635624,2009-01-06
Office of the State Superintendent of Education,-378.311947216164,2009-01-06
Department of Public Works,-371.0938429329576,2009-01-06
District Department of the Environment,1309.1630909971682,2009-01-06
Department of Parks & Recreation,198.29788137536843,2009-01-06
Department of Health,694.9172731730487,2009-01-06
Department of Corrections,-362.6978020040684,2009-01-06
Department of Health,1839.4155463737277,2009-01-06
Department of Mental Health,952.8338493408736,2009-01-06
Fire & Emergency Medical Services,332.14268637395315,2009-01-07
Department of Corrections,2787.1594918045826,2009-01-06
Office of the Attorney General,237.43114506076225,2009-01-07
DC Department of Human Resources,-216.5574569139893,2009-01-07
Department of Health,1426.5576842350606,2009-01-07
Department on Disability Services,591.7622797631757,2009-01-07
Department of Property Management,672.2238129957053,2009-01-07
Department of Housing & Community Development,553.3691248450506,2009-01-07
DC Department of Human Resources,-192.96193555826608,2009-01-07
Office on Asian/Pacific Affairs,976.3198884948658,2009-01-07
Department of Health,569.7224625827807,2009-01-07
Office of the State Superintendent of Education,1653.827091109847,2009-01-07
Office of the Mayor,527.6401608649554,2009-01-07
Office of Contracting & Procurement,615.5948695739266,2009-01-07
Office of the Chief Financial Officer,-405.6452045643382,2009-01-07
DC Public Library,-897.2178175887854,2009-01-07
Department of  Youth Rehabilitation Services,281.286071555041,2009-01-07
Department of Health,419.9691117921024,2009-01-07
Department of Health,-923.1556373512165,2009-01-07
Office of the Chief Financial Officer,-521.7890917004994,2009-01-07
Office of the Secretary,276.4434963906142,2009-01-07
Office of the Chief Financial Officer,100.9510714217061,2009-01-07
Department of Housing & Community Development,127.27595202178532,2009-01-07
Department of Health,-10.996107320646615,2009-01-07
District Department of the Environment,1223.312290707193,2009-01-07
Department of Health,-1372.2108032699912,2009-01-07
Department of Public Works,-27.47642100958649,2009-01-07
District Department of Transportation,442.5261923196746,2009-01-07
Metropolitan Police Department,-31.896030018765718,2009-01-07
District Department of the Environment,2049.3214141644603,2009-01-07
Metropolitan Police Department,483.51975138593593,2009-01-07
Office of the Secretary,-237.85145498123427,2009-01-07
Fire & Emergency Medical Services,-292.74172818529235,2009-01-08
Department of Small & Local Business Development,1625.0188645096796,2009-01-08
Department of  Youth Rehabilitation Services,509.9185305797741,2009-01-08
DC National Guard,863.5626070632343,2009-01-08
Fire & Emergency Medical Services,-131.26206621712458,2009-01-07
Department of Public Works,-7.509582390752712,2009-01-08
Department of Education,774.5553937689814,2009-01-07
Office of Unified Communications,373.3012572467993,2009-01-07
Metropolitan Police Department,1335.2148085836634,2009-01-07
Department of Housing & Community Development,553.3691248450506,2009-01-07
Department of Health,1167.906070957618,2009-01-07
District Department of the Environment,-329.8781717553137,2009-01-07
Department of Corrections,1207.2808061043083,2009-01-07
Department of Health,-5.293343693620727,2009-01-07
Fire & Emergency Medical Services,553.3691248450506,2009-01-07
Department of Health,-352.0890044116584,2009-01-07
District Department of Transportation,545.2949670141585,2009-01-07
Department of Mental Health,-895.2710075503502,2009-01-07
Office of the Chief Technology Officer,167.1807384733312,2009-01-07
Office of the State Superintendent of Education,242.6416551101035,2009-01-07
Department of  Youth Rehabilitation Services,-943.6129380666738,2009-01-07
Department of Health,1536.8166317827995,2009-01-07
Department of Property Management,1125.6591627242576,2009-01-07
Fire & Emergency Medical Services,238.76299768491012,2009-01-07
DC Public Library,1327.855505314311,2009-01-07
Department of  Youth Rehabilitation Services,625.3740095781544,2009-01-07
Office of the State Superintendent of Education,573.2826653253169,2009-01-07
District Department of Transportation,59.23418926107343,2009-01-07
Office of Police Complaints,127.6681097492123,2009-01-07
Department of Property Management,1412.24460845142,2009-01-07
Department of Mental Health,525.0424218602988,2009-01-07
District Department of Transportation,72.37926985731241,2009-01-07
Department of Corrections,831.8926030129758,2009-01-07
Department of Health,-87.69768767235826,2009-01-07
DC Taxicab Commission,968.8021779283324,2009-01-07
Office of the Attorney General,114.73179977687836,2009-01-07
Department of  Youth Rehabilitation Services,1737.4586753116314,2009-01-07
Serve DC,609.8151416496363,2009-01-07
Child & Family Services Administration,810.0075928205524,2009-01-07
Office of the Chief Financial Officer,-1115.6525482281843,2009-01-07
Fire & Emergency Medical Services,-189.26633721893583,2009-01-07
District Department of Transportation,-573.9286592802374,2009-01-07
Department on Disability Services,-242.10362359154544,2009-01-07
Office of Disability Rights,882.2095783185382,2009-01-07
Office of the Chief Financial Officer,-889.8588171049645,2009-01-07
District Department of Transportation,1130.360614598921,2009-01-08
Department of Mental Health,2037.9310261869791,2009-01-08
DC Public Library,763.907070048659,2009-01-07
City Administrator/Deputy Mayor,243.4005618124469,2009-01-07
Criminal Justice Coordinating Council,244.75837829591308,2009-01-08
Office of the Inspector General,852.9951901601164,2009-01-07
Office of the State Superintendent of Education,1495.5108314453068,2009-01-07
Department of Public Works,324.8715441584954,2009-01-07
Fire & Emergency Medical Services,-356.86685916874694,2009-01-07
