AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
District Department of Transportation,450.0,2009-01-16
District Department of Transportation,600.0,2009-01-16
Department of Motor Vehicles,81.41,2009-01-16
Department of Motor Vehicles,75.75,2009-01-16
Department of Motor Vehicles,8.5,2009-01-16
City Administrator/Deputy Mayor,177.95,2009-01-16
Department of Motor Vehicles,39.87,2009-01-18
Department of  Youth Rehabilitation Services,96.0,2009-01-16
Department of  Youth Rehabilitation Services,93.99,2009-01-16
Department of  Youth Rehabilitation Services,73.98,2009-01-16
Department of  Youth Rehabilitation Services,108.97,2009-01-16
Department of  Youth Rehabilitation Services,87.98,2009-01-16
Department of  Youth Rehabilitation Services,63.58,2009-01-16
Department of  Youth Rehabilitation Services,-3.6,2009-01-16
Fire & Emergency Medical Services,197.26,2009-01-16
Department of Parks & Recreation,7.37,2009-01-15
Metropolitan Police Department,1180.0,2009-01-15
Fire & Emergency Medical Services,1599.97,2009-01-13
Fire & Emergency Medical Services,118.03,2009-01-13
District Department of the Environment,151.37,2009-01-14
District Department of Transportation,76.2,2009-01-14
District Department of Transportation,157.32,2009-01-14
District Department of Transportation,25.5,2009-01-14
Department of Health,689.39,2009-01-14
DC Public Library,229.81,2009-01-13
DC Public Library,555.5,2009-01-13
DC Public Library,346.2,2009-01-13
DC Public Library,2.95,2009-01-13
DC Public Library,477.23,2009-01-13
Office of the Chief Financial Officer,60.0,2009-01-14
Office of the Mayor,89.0,2009-01-14
District Department of Transportation,641.69,2009-01-14
District Department of Transportation,183.75,2009-01-14
District Department of Transportation,754.16,2009-01-15
District Department of Transportation,51.74,2009-01-15
Department of Property Management,645.33,2009-01-14
Department of Public Works,68.13,2009-01-14
Department of Public Works,1471.6,2009-01-15
Department of Consumer & Regulatory Affairs,35.0,2009-01-15
Office of the Chief Technology Officer,831.69,2009-01-14
Office of the Chief Technology Officer,-9.23,2009-01-14
Office of the Chief Technology Officer,9.23,2009-01-14
Office of the Chief Technology Officer,1825.0,2009-01-15
Department of Employment Services,332.5,2009-01-15
Fire & Emergency Medical Services,227.98,2009-01-15
Department of Human Services,90.0,2009-01-14
District Department of Transportation,324.95,2009-01-15
District Department of Transportation,173.24,2009-01-14
"Department of Insurance, Securities & Banking",209.0,2009-01-09
District Department of Transportation,2455.65,2009-01-09
Department of Health,82.7,2009-01-09
Department of Health,1231.0,2009-01-09
Department of Health,102.49,2009-01-10
Department of Health,3000.0,2009-01-09
Department of Health,5000.0,2009-01-12
Department of Corrections,69.96,2009-01-10
Department of Corrections,38.92,2009-01-10
Office of Police Complaints,345.78,2009-01-11
Office of Police Complaints,25.0,2009-01-12
Fire & Emergency Medical Services,629.96,2009-01-12
Department on Disability Services,108.96,2009-01-12
Department of Health,8399.99,2009-01-12
District Department of the Environment,0.82,2009-01-13
District Department of the Environment,81.71,2009-01-13
Office on Aging,195.0,2009-01-09
Department of Mental Health,236.58,2009-01-11
Office of the Tenant Advocate,2337.6,2009-01-12
Office of the Tenant Advocate,150.0,2009-01-12
Department on Disability Services,201.42,2009-01-12
Department of Motor Vehicles,88.32,2009-01-12
Fire & Emergency Medical Services,787.5,2009-01-12
Office of Finance & Resource Management,1450.0,2009-01-13
Office of the State Superintendent of Education,343.0,2009-01-12
Department of Property Management,509.6,2009-01-12
Office of the Chief Financial Officer,895.0,2009-01-12
Office of the Chief Financial Officer,895.0,2009-01-12
Fire & Emergency Medical Services,375.0,2009-01-12
Department of Consumer & Regulatory Affairs,259.2,2009-01-13
Fire & Emergency Medical Services,256.52,2009-01-12
Fire & Emergency Medical Services,149.99,2009-01-12
Fire & Emergency Medical Services,109.34,2009-01-12
Fire & Emergency Medical Services,366.41,2009-01-12
Fire & Emergency Medical Services,366.41,2009-01-12
Fire & Emergency Medical Services,366.41,2009-01-12
Fire & Emergency Medical Services,366.41,2009-01-12
Department of Health,3007.5,2009-01-12
Office of the State Superintendent of Education,355.0,2009-01-09
Office of the Attorney General,107.0,2009-01-11
Department of Parks & Recreation,54.0,2009-01-12
Department of Parks & Recreation,54.0,2009-01-12
Office of the Chief Financial Officer,-280.0,2009-01-08
District Department of the Environment,117.16,2009-01-13
Department of Corrections,827.35,2009-01-12
Office of Unified Communications,275.0,2009-01-12
Office of Unified Communications,15.0,2009-01-12
Metropolitan Police Department,2132.0,2009-01-12
Homeland Security/Emergency Management,62.5,2009-01-12
Department of Consumer & Regulatory Affairs,300.0,2009-01-12
District Department of Transportation,499.86,2009-01-12
Homeland Security/Emergency Management,446.74,2009-01-12
Office of Municipal Planning,135.28,2009-01-12
City Administrator/Deputy Mayor,495.0,2009-01-12
City Administrator/Deputy Mayor,65.88,2009-01-12
District Department of Transportation,-164.9,2009-01-12
District Department of Transportation,1650.0,2009-01-12
Department of Public Works,599.0,2009-01-12
Department of Public Works,599.0,2009-01-12
Department of Public Works,599.0,2009-01-12
Department of Public Works,20.97,2009-01-12
Department of Consumer & Regulatory Affairs,40.0,2009-01-09
Department of Corrections,250.39,2009-01-10
Office of the Secretary,750.0,2009-01-13
Fire & Emergency Medical Services,264.78,2009-01-12
Fire & Emergency Medical Services,63.59,2009-01-12
Department of Employment Services,365.92,2009-01-12
Department of Public Works,174.0,2009-01-12
District Department of Transportation,538.97,2009-01-12
Department of  Youth Rehabilitation Services,1411.22,2009-01-12
District Department of Transportation,394.13,2009-01-12
DC Taxicab Commission,1025.0,2009-01-12
DC Taxicab Commission,57.98,2009-01-12
Fire & Emergency Medical Services,252.96,2009-01-12
District Department of Transportation,948.0,2009-01-12
Department on Disability Services,29.99,2009-01-12
Department on Disability Services,737.86,2009-01-12
Department on Disability Services,279.2,2009-01-12
Department of Public Works,504.65,2009-01-13
Disability Compensation Fund,-19.18,2009-01-12
Department of Motor Vehicles,1528.35,2009-01-12
District Department of Transportation,2610.94,2009-01-13
Department of Property Management,374.25,2009-01-12
Department of Property Management,553.95,2009-01-13
Fire & Emergency Medical Services,347.0,2009-01-12
Fire & Emergency Medical Services,27.96,2009-01-13
Department of Public Works,886.68,2009-01-13
Fire & Emergency Medical Services,2500.0,2009-01-13
District Department of the Environment,2432.0,2009-01-13
Office of the State Superintendent of Education,136.77,2009-01-13
Office of the State Superintendent of Education,51.6,2009-01-13
Office of the State Superintendent of Education,60.23,2009-01-12
Fire & Emergency Medical Services,652.1,2009-01-13
Fire & Emergency Medical Services,1190.7,2009-01-12
District Department of the Environment,2341.3,2009-01-13
Office of Unified Communications,200.0,2009-01-13
Department of Health,4.75,2009-01-13
Department of Health,4.75,2009-01-13
Department of Health,4.75,2009-01-13
Department of Health,4.75,2009-01-13
Department of Health,4.75,2009-01-13
Department of Health,4.75,2009-01-13
District Department of Transportation,903.05,2009-01-12
District Department of Transportation,437.8,2009-01-13
Fire & Emergency Medical Services,96.84,2009-01-13
District Department of Transportation,2487.58,2009-01-12
Department of Public Works,194.41,2009-01-12
Department of Public Works,194.41,2009-01-12
Department of Public Works,194.41,2009-01-12
Office of the Secretary,91.92,2009-01-12
District Department of Transportation,1900.0,2009-01-13
District Department of Transportation,36.35,2009-01-13
Department of Health,1942.72,2009-01-13
Fire & Emergency Medical Services,2940.0,2009-01-13
DC Public Library,224.0,2009-01-13
Office of Partnership & Grant Services,358.5,2009-01-13
Fire & Emergency Medical Services,789.44,2009-01-12
Fire & Emergency Medical Services,465.3,2009-01-13
Metropolitan Police Department,492.48,2009-01-12
Metropolitan Police Department,492.48,2009-01-12
Metropolitan Police Department,1994.98,2009-01-13
Metropolitan Police Department,205.2,2009-01-12
DC Taxicab Commission,2075.49,2009-01-13
Commission on Arts & Humanities,1682.33,2009-01-13
Department of Parks & Recreation,11.46,2009-01-12
Department of Parks & Recreation,375.0,2009-01-13
Fire & Emergency Medical Services,1130.07,2009-01-13
Commission of Judicial Disabilities & Tenure,104.33,2009-01-14
Commission of Judicial Disabilities & Tenure,82.06,2009-01-12
Office of Unified Communications,262.74,2009-01-13
Office of Unified Communications,-5.3,2009-01-13
Office of Municipal Planning,-39.99,2009-01-12
Office of Municipal Planning,186.43,2009-01-13
Department of  Youth Rehabilitation Services,156.39,2009-01-12
Office of Disability Rights,150.0,2009-01-13
Office of Disability Rights,188.0,2009-01-13
Office of Police Complaints,375.0,2009-01-12
Office of the State Superintendent of Education,112.0,2009-01-13
Department of Health,841.65,2009-01-13
Department on Disability Services,687.6,2009-01-13
Department on Disability Services,-14.0,2009-01-12
Fire & Emergency Medical Services,116.86,2009-01-08
Department of Health,365.0,2009-01-09
District Department of Transportation,2427.58,2009-01-08
District Department of Transportation,2180.61,2009-01-09
Fire & Emergency Medical Services,157.01,2009-01-10
DC Public Library,285.43,2009-01-09
DC Public Library,-10.68,2009-01-10
DC Public Library,-2.0,2009-01-10
Department of  Youth Rehabilitation Services,563.27,2009-01-09
Office of the Chief Financial Officer,-213.0,2009-01-09
Department of Human Services,160.0,2009-01-08
Department of Health,967.14,2009-01-09
Department of Health,597.77,2009-01-09
Department of Consumer & Regulatory Affairs,240.0,2009-01-09
Department of Health,1944.25,2009-01-09
Department of Housing & Community Development,67.85,2009-01-09
Department of Housing & Community Development,184.97,2009-01-09
Department of Public Works,1600.0,2009-01-09
Office of Disability Rights,2137.5,2009-01-09
Office of the Attorney General,2500.0,2009-01-09
Department of  Youth Rehabilitation Services,20.0,2009-01-09
Department of  Youth Rehabilitation Services,2358.42,2009-01-09
Department of Health,939.65,2009-01-09
Office of Unified Communications,323.81,2009-01-09
Department of Consumer & Regulatory Affairs,676.9,2009-01-08
Department of Consumer & Regulatory Affairs,380.41,2009-01-08
Department of Corrections,418.0,2009-01-10
Department of Corrections,938.0,2009-01-10
Department of  Youth Rehabilitation Services,89.17,2009-01-08
Department on Disability Services,69.99,2009-01-08
Department on Disability Services,397.49,2009-01-08
Fire & Emergency Medical Services,1527.0,2009-01-09
DC Public Library,1195.0,2009-01-09
Department of Motor Vehicles,212.14,2009-01-08
Department of Motor Vehicles,130.12,2009-01-10
District Department of Transportation,240.53,2009-01-11
Fire & Emergency Medical Services,2327.11,2009-01-08
Fire & Emergency Medical Services,79.0,2009-01-07
Fire & Emergency Medical Services,24.99,2009-01-09
Fire & Emergency Medical Services,577.0,2009-01-10
Office of the Chief Technology Officer,1486.28,2009-01-10
Office of Latino Affairs,16.8,2009-01-05
Department of Mental Health,229.5,2009-01-05
District Department of Transportation,3147.33,2009-01-05
Department of  Youth Rehabilitation Services,54.0,2009-01-05
Office of Employee Appeals,137.35,2009-01-05
Office of Police Complaints,1340.8,2009-01-06
Fire & Emergency Medical Services,667.0,2009-01-06
Fire & Emergency Medical Services,2760.0,2009-01-06
Fire & Emergency Medical Services,190.42,2009-01-06
Fire & Emergency Medical Services,34.89,2009-01-06
Fire & Emergency Medical Services,72.36,2009-01-06
Fire & Emergency Medical Services,1759.68,2009-01-07
Fire & Emergency Medical Services,63.56,2009-01-06
Department of Property Management,85.5,2009-01-05
Department of Property Management,160.0,2009-01-06
Department of Property Management,575.0,2009-01-06
Department of Property Management,520.0,2009-01-06
Board of Elections & Ethics,43.55,2009-01-06
Department of Property Management,2499.5,2009-01-06
Department of Mental Health,1584.27,2009-01-06
Office of the Chief Technology Officer,558.95,2009-01-06
Department of Public Works,620.0,2009-01-05
Office of the Tenant Advocate,1435.0,2009-01-06
Office of the Tenant Advocate,19.95,2009-01-07
Fire & Emergency Medical Services,2170.0,2009-01-06
Department of  Youth Rehabilitation Services,203.51,2009-01-07
Office of Finance & Resource Management,1908.51,2009-01-06
Office of Cable TV,850.0,2009-01-06
Department on Disability Services,1482.85,2009-01-06
Office of the State Superintendent of Education,1250.0,2009-01-06
Alcoholic Beverage Regulation Administration,86.2,2009-01-06
Fire & Emergency Medical Services,13.4,2009-01-05
Fire & Emergency Medical Services,11.43,2009-01-05
Department of Public Works,102.57,2009-01-05
Fire & Emergency Medical Services,237.0,2009-01-05
Fire & Emergency Medical Services,205.0,2009-01-06
Commission on Arts & Humanities,1579.96,2009-01-06
Department of Motor Vehicles,1506.02,2009-01-06
Department of Motor Vehicles,1350.0,2009-01-06
Department on Disability Services,15.0,2009-01-06
DC Public Library,1449.36,2009-01-05
Department of Corrections,168.2,2009-01-06
Department of Corrections,224.87,2009-01-05
Department of Corrections,6.99,2009-01-05
City Administrator/Deputy Mayor,227.37,2009-01-06
City Administrator/Deputy Mayor,52.47,2009-01-06
Fire & Emergency Medical Services,724.06,2009-01-06
Fire & Emergency Medical Services,211.49,2009-01-06
DC Department of Human Resources,1600.0,2009-01-06
Office of the State Superintendent of Education,525.0,2009-01-05
Office of the State Superintendent of Education,219.0,2009-01-06
Department of Health,235.0,2009-01-05
Department of Health,2091.1,2009-01-06
Fire & Emergency Medical Services,2982.23,2009-01-05
Fire & Emergency Medical Services,56.0,2009-01-05
District Department of Transportation,2360.0,2009-01-06
Department on Disability Services,94.95,2009-01-06
District Department of the Environment,1818.36,2009-01-05
Contract Appeals Board,50.77,2009-01-05
Contract Appeals Board,37.15,2009-01-06
Metropolitan Police Department,4450.0,2009-01-05
Department of Parks & Recreation,284.91,2009-01-06
Department of Health,4.75,2009-01-06
Department of Health,4.75,2009-01-06
Department of Health,-464.48,2009-01-06
Department of Health,425.0,2009-01-05
Department of Health,4.75,2009-01-06
Department of Health,4.75,2009-01-06
Fire & Emergency Medical Services,2385.57,2009-01-06
Department of  Youth Rehabilitation Services,1981.25,2009-01-06
Department of Health,855.37,2009-01-05
Fire & Emergency Medical Services,320.0,2009-01-06
District Department of Transportation,2231.43,2009-01-06
Office of the State Superintendent of Education,35.97,2009-01-06
Office of the Attorney General,1304.4,2009-01-06
District Department of Transportation,1993.55,2009-01-06
District Department of Transportation,1100.0,2009-01-06
Department of Motor Vehicles,144.85,2009-01-05
Office of the Secretary,128.52,2009-01-06
Office of the Secretary,1100.0,2009-01-06
Office of the Secretary,1100.0,2009-01-06
Department of Property Management,-608.97,2009-01-06
Department of Property Management,691.12,2009-01-06
District Department of Transportation,919.22,2009-01-05
District Department of Transportation,815.43,2009-01-06
DC Public Library,970.0,2009-01-06
Fire & Emergency Medical Services,549.1,2009-01-06
District Department of the Environment,132.0,2009-01-06
District Department of the Environment,350.0,2009-01-06
Department of  Youth Rehabilitation Services,1473.49,2009-01-06
Department of  Youth Rehabilitation Services,194.07,2009-01-06
Department of  Youth Rehabilitation Services,251.42,2009-01-06
Department of Human Services,125.36,2009-01-05
Department of Consumer & Regulatory Affairs,310.77,2009-01-05
District Department of the Environment,39.66,2009-01-06
District Department of the Environment,37.5,2009-01-06
District Department of the Environment,-39.66,2009-01-06
DC Public Library,790.61,2009-01-06
Department of Mental Health,94.5,2009-01-06
District Department of Transportation,602.33,2009-01-05
Office of Contracting & Procurement,133.86,2009-01-05
Department of Housing & Community Development,1923.81,2009-01-05
Fire & Emergency Medical Services,1734.53,2009-01-07
Fire & Emergency Medical Services,2710.38,2009-01-07
Department of Corrections,-48.62,2009-01-07
Department of Corrections,285.0,2009-01-06
Department of Corrections,587.5,2009-01-07
Department of Public Works,126.44,2009-01-06
Department of Public Works,504.14,2009-01-06
Department of Public Works,2360.59,2009-01-07
Office of the Tenant Advocate,1637.01,2009-01-08
Office of Police Complaints,399.0,2009-01-06
Office of Police Complaints,134.95,2009-01-07
Department on Disability Services,1630.95,2009-01-06
Department on Disability Services,290.0,2009-01-06
Department on Disability Services,45.05,2009-01-06
Department on Disability Services,-1041.27,2009-01-06
Office of the Chief Technology Officer,2330.2,2009-01-08
District Department of Transportation,270.48,2009-01-06
District Department of Transportation,43.42,2009-01-06
District Department of Transportation,2360.0,2009-01-07
DC Public Library,654.64,2009-01-06
DC Public Library,2671.21,2009-01-07
Fire & Emergency Medical Services,1928.35,2009-01-07
Fire & Emergency Medical Services,2587.65,2009-01-07
DC Public Library,2320.0,2009-01-07
Department of Education,2164.61,2009-01-05
Department of Parks & Recreation,1024.79,2009-01-07
Fire & Emergency Medical Services,225.0,2009-01-07
Fire & Emergency Medical Services,195.91,2009-01-06
Fire & Emergency Medical Services,895.0,2009-01-07
Fire & Emergency Medical Services,1025.0,2009-01-07
Office of the Secretary,1100.0,2009-01-07
Office of the State Superintendent of Education,950.0,2009-01-07
Department of Health,74.3,2009-01-06
Department of  Youth Rehabilitation Services,266.81,2009-01-06
Office of the Attorney General,50.0,2009-01-07
Office of Community Affairs,182.69,2009-01-07
Department on Disability Services,389.99,2009-01-07
Fire & Emergency Medical Services,669.34,2009-01-06
Fire & Emergency Medical Services,14.78,2009-01-06
Fire & Emergency Medical Services,75.83,2009-01-06
Fire & Emergency Medical Services,7.0,2009-01-07
Fire & Emergency Medical Services,172.8,2009-01-07
Fire & Emergency Medical Services,307.4,2009-01-07
Fire & Emergency Medical Services,203.76,2009-01-07
Fire & Emergency Medical Services,972.89,2009-01-07
Office of the Chief Financial Officer,1274.79,2009-01-07
Department on Disability Services,1689.0,2009-01-06
Department on Disability Services,299.0,2009-01-06
Office of Partnership & Grant Services,2250.0,2009-01-07
District Department of Transportation,5.11,2009-01-06
District Department of Transportation,25.0,2009-01-07
Office of the Mayor,196.5,2009-01-06
Office of Contracting & Procurement,76.88,2009-01-07
Department of Consumer & Regulatory Affairs,215.0,2009-01-07
Department of Consumer & Regulatory Affairs,215.0,2009-01-07
Department of  Youth Rehabilitation Services,418.67,2009-01-07
DC Taxicab Commission,149.0,2009-01-07
Commission on Arts & Humanities,992.75,2009-01-06
Department of Public Works,777.6,2009-01-06
Department of Public Works,160.5,2009-01-07
City Administrator/Deputy Mayor,816.54,2009-01-07
City Administrator/Deputy Mayor,15.86,2009-01-07
City Administrator/Deputy Mayor,-15.86,2009-01-07
City Administrator/Deputy Mayor,14.99,2009-01-07
DC Taxicab Commission,256.96,2009-01-02
Department of Property Management,298.75,2009-01-03
DC Public Library,2661.96,2009-01-03
Department of Health,586.19,2009-01-02
Fire & Emergency Medical Services,1866.82,2009-01-02
Department of Corrections,153.97,2009-01-02
Department of Corrections,132.84,2009-01-02
Department of Corrections,2156.0,2009-01-03
Department of Public Works,698.63,2009-01-02
Department of Public Works,1224.82,2009-01-02
Fire & Emergency Medical Services,2450.0,2009-01-02
Department of Property Management,1854.74,2009-01-02
Department of Property Management,319.96,2009-01-02
Fire & Emergency Medical Services,129.0,2009-01-02
Office of the Chief Financial Officer,982.48,2009-01-02
Department of Employment Services,115.98,2009-01-02
Department of Employment Services,147.88,2009-01-02
Department of Motor Vehicles,234.72,2009-01-03
Fire & Emergency Medical Services,76.5,2009-01-03
Fire & Emergency Medical Services,71.1,2009-01-02
Department of  Youth Rehabilitation Services,1770.0,2009-01-02
Metropolitan Police Department,1459.0,2009-01-02
District Department of Transportation,482.4,2009-01-02
Department of Housing & Community Development,109.95,2009-01-02
District Department of the Environment,109.85,2009-01-02
Office of the State Superintendent of Education,31.65,2009-01-02
Fire & Emergency Medical Services,24.61,2009-01-02
Office of the Chief Financial Officer,71.22,2009-01-03
Department on Disability Services,100.55,2009-01-02
Department on Disability Services,249.24,2009-01-02
Fire & Emergency Medical Services,2298.28,2009-01-02
Metropolitan Police Department,-23.16,2009-01-02
Fire & Emergency Medical Services,2500.0,2009-01-02
Office of Cable TV,240.4,2009-01-04
Department of Property Management,9.48,2009-01-02
Department of Motor Vehicles,815.57,2009-01-02
