AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Department of Consumer & Regulatory Affairs,2004.12,2009-08-14
Department of Health,255.75,2009-08-12
Office of the State Superintendent of Education,25.44,2009-11-13
Department of Consumer & Regulatory Affairs,-678.58,2009-01-22
Department of Health,297.34,2009-03-20
Office of the Chief Technology Officer,48.74,2009-08-14
Contract Appeals Board,296.74,2009-08-24
DC Public Library,169.89,2009-01-12
Fire & Emergency Medical Services,221.63,2009-08-03
Metropolitan Police Department,143.96,2009-06-10
Metropolitan Police Department,237.14,2009-09-26
Department of Health,21.8,2009-01-18
District Department of Transportation,-859.84,2009-01-20
Fire & Emergency Medical Services,494.69,2009-10-15
DC Department of Human Resources,160.93,2009-09-18
Office of the Attorney General,-28.43,2009-08-29
Department of Housing & Community Development,508.33,2009-10-20
Fire & Emergency Medical Services,187.47,2009-06-24
Office of the Tenant Advocate,34.12,2009-08-24
Department of Health,1919.27,2009-07-29
Department of Employment Services,2093.07,2009-12-09
Fire & Emergency Medical Services,58.04,2009-08-31
Department of Education,482.58,2009-01-17
Department of Housing & Community Development,210.34,2009-10-20
Department of Consumer & Regulatory Affairs,197.13,2009-02-15
Department of Health,214.28,2009-01-16
Department of Health,-744.33,2009-03-29
Metropolitan Police Department,2026.3,2009-08-17
Office of the Chief Financial Officer,528.28,2009-08-11
Department of Motor Vehicles,94.66,2009-03-15
University of the District of Columbia,-31.29,2009-02-17
Department of Public Works,131.13,2009-05-02
Department of Parks & Recreation,177.73,2009-08-28
University of the District of Columbia,17.67,2009-08-05
DC Office of Risk Management,2022.86,2009-09-12
Department of Public Works,84.02,2009-06-03
Office of the Tenant Advocate,2259.08,2009-11-26
Office of the State Superintendent of Education,2124.45,2009-08-09
Department of Corrections,28.97,2009-04-16
Department of Corrections,67.84,2009-01-14
Office of Human Rights,122.66,2009-09-08
Metropolitan Police Department,197.71,2009-02-12
Fire & Emergency Medical Services,269.98,2009-05-14
Office of the Chief Financial Officer,72.48,2009-01-20
Office of the Secretary,1861.19,2009-12-14
Department of  Youth Rehabilitation Services,1824.53,2009-08-22
District Department of Transportation,12.77,2009-01-29
Department of  Youth Rehabilitation Services,22.12,2009-11-30
Department of  Youth Rehabilitation Services,669.71,2009-07-25
Office of Unified Communications,2126.32,2009-09-06
Department of Public Works,51.89,2009-04-25
Commission on Arts & Humanities,9.21,2009-06-15
Fire & Emergency Medical Services,114.91,2009-12-09
Office of the Chief Medical Examiner,5.85,2009-08-07
Department of Parks & Recreation,224.64,2009-10-21
University of the District of Columbia,2146.41,2009-03-14
DC Public Library,390.5,2009-09-23
District Department of the Environment,525.47,2009-04-09
Department of Parks & Recreation,1962.72,2009-10-14
Office of the Inspector General,2.26,2009-12-07
DC Department of Human Resources,29.61,2009-05-19
Fire & Emergency Medical Services,32.69,2009-09-17
District Department of Transportation,564.32,2009-04-24
Department of  Youth Rehabilitation Services,710.95,2009-06-25
Department of Motor Vehicles,1194.21,2009-02-05
DC Public Library,700.12,2009-12-05
Office of the Attorney General,117.67,2009-09-30
Department of Public Works,702.48,2009-05-26
Department of Health,205.24,2009-01-17
Department of Motor Vehicles,700.91,2009-05-21
Office of Municipal Planning,-10.32,2009-08-26
District Department of the Environment,389.65,2009-01-03
Office of the Tenant Advocate,60.8,2009-07-19
Fire & Emergency Medical Services,978.16,2009-08-10
Department of Public Works,191.56,2009-03-30
District Department of Transportation,-1167.29,2009-03-28
Office of the Chief Technology Officer,834.65,2009-12-16
Metropolitan Police Department,392.29,2009-08-10
Fire & Emergency Medical Services,40.77,2009-02-06
Department on Disability Services,46.76,2009-09-18
Metropolitan Police Department,329.4,2009-06-10
District Department of the Environment,290.69,2009-03-03
Department of Corrections,-344.2,2009-09-10
DC Public Library,49.14,2009-08-31
Department of Health,1443.84,2009-03-07
Metropolitan Police Department,18.95,2009-04-12
District Department of the Environment,1148.87,2009-06-07
Department on Disability Services,18.38,2009-04-21
City Administrator/Deputy Mayor,20.33,2009-03-31
District Department of the Environment,417.33,2009-01-13
Department of Employment Services,2167.2,2009-08-21
Department of Corrections,25.44,2009-06-22
District Department of Transportation,549.88,2009-02-06
Office of Contracting & Procurement,263.64,2009-08-28
Fire & Emergency Medical Services,1866.34,2009-10-01
District Department of Transportation,310.44,2009-07-11
District Department of the Environment,810.43,2009-10-09
Metropolitan Police Department,-117.08,2009-05-15
Fire & Emergency Medical Services,51.42,2009-08-06
Department of Property Management,814.45,2009-08-13
Metropolitan Police Department,-495.93,2009-04-18
Department of  Youth Rehabilitation Services,508.85,2009-08-08
Fire & Emergency Medical Services,2238.81,2009-11-19
Department of  Youth Rehabilitation Services,67.14,2009-03-13
DC Department of Human Resources,68.38,2009-09-07
Office of the Chief Financial Officer,234.51,2009-02-02
Fire & Emergency Medical Services,191.01,2009-08-06
Office of the State Superintendent of Education,562.85,2009-02-08
City Administrator/Deputy Mayor,306.0,2009-04-16
Department of Corrections,2198.06,2009-02-07
District Department of the Environment,288.53,2009-08-27
University of the District of Columbia,1914.07,2009-02-11
Office of the Tenant Advocate,21.29,2009-08-13
Office of the Attorney General,212.19,2009-03-11
Department on Disability Services,746.54,2009-03-20
Fire & Emergency Medical Services,378.27,2009-07-31
University of the District of Columbia,1900.98,2009-11-20
Department of  Youth Rehabilitation Services,20.62,2009-04-03
Department of  Youth Rehabilitation Services,33.27,2009-09-29
District Department of Transportation,209.93,2008-12-28
Office of the Inspector General,7.6,2009-04-07
District Department of the Environment,-655.3,2009-08-10
Fire & Emergency Medical Services,213.67,2009-03-27
Fire & Emergency Medical Services,621.78,2009-08-15
Department of  Youth Rehabilitation Services,68.8,2009-02-28
Department on Disability Services,260.67,2009-05-12
Office of the Chief Financial Officer,179.78,2009-12-04
Department of Health,227.39,2009-02-21
Office of the State Superintendent of Education,1799.07,2009-03-16
Commission on Arts & Humanities,36.86,2009-09-08
District Department of Transportation,464.86,2009-03-27
Metropolitan Police Department,21.61,2009-08-03
Metropolitan Police Department,-1125.95,2009-02-13
District Department of the Environment,47.99,2009-11-06
Serve DC,229.9,2009-01-09
Department on Disability Services,-14.77,2009-09-21
Office of the Chief Technology Officer,793.8,2009-03-20
DC Office of Risk Management,741.92,2009-11-10
District Department of Transportation,19.88,2009-04-16
Office of Contracting & Procurement,71.83,2009-07-09
Metropolitan Police Department,32.38,2009-03-28
District Department of the Environment,87.28,2009-03-31
DC National Guard,1982.89,2009-05-05
Metropolitan Police Department,179.13,2009-12-12
Office of the Chief Financial Officer,22.18,2009-08-14
Metropolitan Police Department,19.52,2009-08-20
Department of Health,-230.58,2009-09-23
Fire & Emergency Medical Services,561.27,2009-09-07
Department of Health,1472.59,2009-09-05
District Department of Transportation,2276.39,2009-08-25
Office of the Chief Technology Officer,36.51,2009-08-13
Serve DC,291.29,2009-03-15
Department of Motor Vehicles,29.85,2009-03-10
Office of Latino Affairs,1978.85,2009-04-09
Fire & Emergency Medical Services,1859.95,2009-08-14
Office of the Inspector General,-387.45,2009-03-17
District Department of Transportation,49.77,2009-08-16
Department of Human Services,21.84,2009-03-02
Department of Health,10.16,2009-01-30
Department of Health,719.98,2009-02-22
District Department of Transportation,70.44,2009-08-10
Office of the State Superintendent of Education,1900.7,2009-08-01
Fire & Emergency Medical Services,291.47,2009-06-04
Department of Mental Health,384.38,2009-04-04
Department of Housing & Community Development,62.96,2009-03-29
Department of Public Works,1468.44,2009-03-13
Fire & Emergency Medical Services,605.31,2009-08-13
Department of  Youth Rehabilitation Services,179.4,2009-05-07
Department of Public Works,2103.79,2009-10-04
Office of the State Superintendent of Education,91.64,2009-02-03
Metropolitan Police Department,1071.28,2009-03-18
Department of Motor Vehicles,-339.6,2009-06-06
Office of the Chief Financial Officer,166.5,2009-09-17
Department of Health,288.28,2009-07-07
Department of  Youth Rehabilitation Services,-6.71,2009-08-28
District Department of the Environment,192.84,2009-08-23
Department of Consumer & Regulatory Affairs,2046.38,2009-12-11
Office of the Attorney General,2012.98,2009-12-03
Metropolitan Police Department,232.1,2009-08-14
Office of the Attorney General,1954.19,2009-07-16
Fire & Emergency Medical Services,339.76,2008-12-31
Department of Health,1465.35,2009-02-18
DC Public Library,198.31,2009-02-18
Department of Human Services,51.48,2009-09-11
District Department of Transportation,399.34,2009-03-21
Metropolitan Police Department,3.68,2009-01-30
Office of the Chief Financial Officer,21.55,2009-11-28
Department of Public Works,69.19,2009-09-17
District Department of the Environment,570.7,2009-01-20
DC Public Library,1468.46,2009-12-08
Department of  Youth Rehabilitation Services,-14.71,2009-08-19
District Department of the Environment,89.71,2009-04-21
Alcoholic Beverage Regulation Administration,-30.23,2009-01-30
DC Public Library,534.85,2009-02-09
Department of Employment Services,229.31,2009-05-31
Department of  Youth Rehabilitation Services,776.77,2009-08-08
Child & Family Services Administration,290.72,2009-08-22
Fire & Emergency Medical Services,130.57,2009-08-11
District Department of the Environment,432.05,2009-08-26
District Department of Transportation,59.97,2009-01-14
Department of Corrections,1917.67,2009-11-23
City Administrator/Deputy Mayor,68.69,2009-01-10
District Department of the Environment,67.06,2009-03-24
Metropolitan Police Department,1291.64,2009-10-30
Metropolitan Police Department,22.59,2009-08-20
Department of Public Works,40.36,2009-03-20
Office of the Chief Financial Officer,938.8,2009-08-30
Department of Parks & Recreation,478.12,2009-04-14
Fire & Emergency Medical Services,35.22,2009-08-01
Department of  Youth Rehabilitation Services,2057.72,2009-01-18
Department of Motor Vehicles,-277.26,2009-02-25
Fire & Emergency Medical Services,12.2,2009-08-20
Department of Public Works,47.08,2009-09-25
Department on Disability Services,3.24,2009-08-31
Department of Health,101.91,2009-02-15
Fire & Emergency Medical Services,20.81,2009-04-01
Office of the State Superintendent of Education,87.47,2009-04-24
Office of Disability Rights,-1.61,2009-01-05
Department of Housing & Community Development,2008.72,2009-08-16
Fire & Emergency Medical Services,29.2,2009-09-15
Department on Disability Services,147.97,2009-10-23
Office of Contracting & Procurement,20.86,2009-01-14
Office of the Inspector General,1629.53,2009-09-01
District Department of Transportation,538.18,2009-12-21
Department of Health,12.16,2009-03-02
Department of Mental Health,56.38,2009-08-15
Department of  Youth Rehabilitation Services,2218.86,2009-02-02
Office of the Chief Technology Officer,252.3,2009-02-19
Department of Health,-1069.71,2009-08-24
Office of the Attorney General,174.94,2009-09-25
DC Public Library,64.59,2009-07-31
Department of Employment Services,2016.66,2009-04-22
DC Taxicab Commission,12.92,2009-09-03
Department of Property Management,349.68,2009-07-04
Department of Property Management,1962.79,2009-05-12
Metropolitan Police Department,-531.12,2009-05-26
Office of the Tenant Advocate,68.59,2009-02-21
Department on Disability Services,1201.59,2008-12-28
Fire & Emergency Medical Services,1855.62,2009-04-02
DC National Guard,-4.37,2009-04-02
Department of Corrections,189.74,2009-04-25
District Department of Transportation,372.95,2009-08-05
University of the District of Columbia,1866.76,2009-08-12
Office of the State Superintendent of Education,172.57,2009-12-03
Department of Corrections,16.07,2009-05-20
Office of the State Superintendent of Education,178.19,2009-09-21
Office of the Tenant Advocate,-127.04,2009-08-20
Department on Disability Services,19.07,2009-02-11
Office of Unified Communications,35.6,2009-01-31
Office of Victim Services,36.07,2009-08-08
Department of Corrections,21.71,2009-01-04
Office of Partnership & Grant Services,9.78,2009-06-21
DC Department of Human Resources,395.26,2009-08-11
District Department of Transportation,283.96,2009-02-08
Board of Elections & Ethics,1495.77,2009-08-30
Fire & Emergency Medical Services,36.22,2009-07-11
Office of Partnership & Grant Services,18.97,2009-01-24
Department of  Youth Rehabilitation Services,32.46,2009-08-06
Office of Zoning,3.83,2009-05-05
District Department of the Environment,-679.91,2009-02-10
Fire & Emergency Medical Services,89.14,2009-06-26
DC Department of Human Resources,330.39,2009-03-29
Department on Disability Services,56.34,2009-07-31
District Department of the Environment,1805.55,2009-04-26
Department of Public Works,2244.72,2009-02-06
Department of  Youth Rehabilitation Services,1403.42,2009-09-12
University of the District of Columbia,31.5,2009-01-12
Office of Human Rights,-229.0,2009-12-09
Office of the State Superintendent of Education,114.94,2009-04-20
Department of  Youth Rehabilitation Services,275.99,2009-08-26
Department on Disability Services,63.49,2009-08-23
Fire & Emergency Medical Services,257.09,2009-03-20
Department of Health,19.66,2009-01-13
Office of Unified Communications,-49.67,2009-08-10
Fire & Emergency Medical Services,29.33,2009-09-27
Department of Health,253.14,2009-01-08
Department of Housing & Community Development,42.49,2009-12-21
Department of Public Works,2207.24,2009-08-16
Department of Human Services,1049.88,2009-07-31
Metropolitan Police Department,256.53,2009-08-25
Criminal Justice Coordinating Council,37.51,2009-08-20
Fire & Emergency Medical Services,2212.03,2009-05-04
Department of Consumer & Regulatory Affairs,50.96,2009-06-20
Department of Health,80.95,2009-02-22
Homeland Security/Emergency Management,10.41,2009-04-28
Metropolitan Police Department,-18.35,2009-08-18
Office of Contracting & Procurement,96.17,2009-02-19
Office of the Chief Technology Officer,1804.06,2009-09-01
Department on Disability Services,-171.69,2009-08-25
Department of  Youth Rehabilitation Services,685.34,2009-08-08
Department of Human Services,9.76,2009-04-15
Office of the State Superintendent of Education,-432.38,2009-03-15
District Department of Transportation,242.45,2009-03-04
Department of Motor Vehicles,46.04,2009-07-03
Department of Public Works,16.36,2009-03-10
Metropolitan Police Department,-88.41,2009-04-24
Department on Disability Services,315.11,2009-06-22
Department of Mental Health,55.71,2009-09-12
Board of Real Property Assessment & Appeals,86.81,2009-06-08
Office of Human Rights,234.23,2009-08-07
Department of  Youth Rehabilitation Services,1876.64,2009-08-08
Department of Employment Services,2335.86,2009-12-04
Department of Consumer & Regulatory Affairs,27.6,2009-08-06
Office of Cable TV,1806.44,2009-01-31
Department of Corrections,177.62,2009-11-22
Office of the State Superintendent of Education,37.57,2009-08-12
Department of Corrections,42.56,2009-12-14
Fire & Emergency Medical Services,217.87,2009-03-03
Office of Police Complaints,346.92,2009-07-28
Homeland Security/Emergency Management,217.34,2009-09-12
Department of Public Works,51.11,2009-09-05
Homeland Security/Emergency Management,28.1,2009-08-07
Office of the Inspector General,63.11,2009-08-06
District Department of Transportation,-64.97,2009-09-18
Department on Disability Services,111.21,2009-01-09
Fire & Emergency Medical Services,48.76,2009-09-15
Office of the Chief Financial Officer,1662.43,2009-09-21
Department on Disability Services,33.02,2009-03-08
Office of the Tenant Advocate,582.58,2009-09-24
Department of Public Works,302.53,2009-04-23
Commission on Arts & Humanities,45.26,2009-05-22
District Department of the Environment,-1100.68,2009-05-31
